id,name,rank,city_id,image
54,Brandman University,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/14/145617_BrandmanLogoVerticalfeatured.jpg"
55,Swansea University,440,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/96/96266_thumb.jpg"
56,Point Park University School Of Education,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/14/147557_stsmall845x845-pad1000x1000f8f8f8.jpg"
57,Australian Maritime College,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/15/154006_amc-logo.png"
58,New Mexico State University College Of Arts And Sciences,651,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/14/140586_newmexicoartssciences.jpeg"
59,Steinbeis University Berlin Institute Corporate Responsibility Management,NULL,246.0,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/95/95166_thumb.png"
60,Learn Chile,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/16/167732_Capturadepantalla2021-08-17alas10.04.42.png"
61,Maranatha Baptist University,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/15/151188_Maranatha.jpg"
62,University Of Evry Val Dessonne Ueve,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/14/146004_University_of_Evry_Val_dEssonne_logo.png"
63,Informa Connect,NULL,119.0,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/13/139160_Informa_Connect_Logo_2Line_Indigo_Grad_RGB.jpg"
64,Albany State University,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/97/97367_thumb.png"
65,University Of Wroclaw,NULL,619.0,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/15/155970_WUSTLogo_1000x240px.png"
66,Universidad Internacional De Andalucueda Unia,NULL,737.0,NULL
67,Unam Universidad Nacional Autonoma De Mexico National Autonomous University Of Mexico,NULL,503.0,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/16/165439_Capturadepantalla2021-06-23alas9.56.38.png"
68,Gori State Teaching University,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/14/145420_logo_eng.png"
69,Euftvufs Loruend University,NULL,283.0,NULL
70,Hertie School,NULL,246.0,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/12/126425_HertieSchool_RGB.jpg"
71,University Of Wollongong Faculty Of Business,193,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/97/97093_thumb.png"
72,Sunway University,651,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/10/104641_main.png"
73,Lipscomb University,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/15/151925_OIP26.jfif"
74,Peoples Friendship University Of Russia,NULL,652.0,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/94/94110_thumb.jpg"
75,Universidad Europea,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/17/171383_UE_Logo_Positive_CMYK1.PNG"
76,James Madison University,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/10/105525_main.png"
77,University Of Stirling,471,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/95/95613_thumb.jpg"
78,Siberian University Of Consumer Cooperation Novosibirsk Institute Of Soviet Cooperative Trade,NULL,657.0,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/16/164110_vjHNaaTm.jpg"
79,Fontys University Of Applied Sciences,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/96/96531_thumb.jpg"
80,Brazilian School Of Public And Business Administration,NULL,NULL,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/12/120013_fgv_ebape_logo_100.png"
81,Universidade Europeia,NULL,624.0,"https://keystoneacademic-res.cloudinary.com/image/upload/a_0/e_trim:10:white/f_auto,q_auto,h_56/element/13/130939_logo_ue_1200x300px.png"
