id,field_of_study,name,duration,url,language,mode,deadline,schedule,tution_amount,tution_currency,university_id
107,ADMINISTRATION,Master Of Human Resource Management,,,English,CAMPUS,,FULLTIME,47088.0,AUD,202
108,ADMINISTRATION,Master Of Human Resource Management,,,English,CAMPUS,,PARTTIME,47088.0,AUD,202
109,ADMINISTRATION,Master Of Human Resource Management,24.0,,English,CAMPUS,,FULLTIME,25230.0,MYR,202
110,ADMINISTRATION,Master Of Arts Leadership And Public Service,,,English,,,,,,73
111,ADMINISTRATION,Master In State And Municipal Administration,24.0,,Russian,CAMPUS,,FULLTIME,,,74
112,ADMINISTRATION,Masters Degree In Management And Human Resources Management,9.0,,Spanish,CAMPUS,,FULLTIME,,,301
113,ADMINISTRATION,Master In Adult Education And Human Resource Development,24.0,,English,ONLINE_AND_CAMPUS COMBINED,,FULLTIME,44316.0,USD,76
114,ADMINISTRATION,Master In Adult Education And Human Resource Development,24.0,,English,ONLINE_AND_CAMPUS COMBINED,,PARTTIME,44316.0,USD,76
115,ADMINISTRATION,Master In Adult Education And Human Resource Development,24.0,,English,CAMPUS,,FULLTIME,44316.0,USD,76
116,ADMINISTRATION,Master In Adult Education And Human Resource Development,24.0,,English,CAMPUS,,PARTTIME,44316.0,USD,76
117,ADMINISTRATION,Master In Adult Education And Human Resource Development,24.0,,English,ONLINE,,FULLTIME,44316.0,USD,76
118,ADMINISTRATION,Master In Adult Education And Human Resource Development,24.0,,English,ONLINE,,PARTTIME,44316.0,USD,76
119,ADMINISTRATION,Msc In International Human Resource Management,12.0,,English,CAMPUS,,FULLTIME,7900.0,GBP,144
120,ADMINISTRATION,Trade Business Commercial Logistics Masters Degree,27.0,,Russian,CAMPUS,,FULLTIME,,,211
121,ADMINISTRATION,Trade Business Commercial Logistics Masters Degree,27.0,,Russian,CAMPUS,,PARTTIME,,,211
122,ADMINISTRATION,Master Of Science In International Logistics Procurement Supply Chain Management,12.0,,English,CAMPUS,,FULLTIME,16000.0,EUR,79
123,ADMINISTRATION,Msc Phd In Administration,48.0,,English,CAMPUS,,FULLTIME,150.0,BRL,80
124,ADMINISTRATION,Postgraduation In Management,9.0,,Portuguese (Portugal),CAMPUS,,PARTTIME,,,75
125,ADMINISTRATION,Master Of Public Administration Emergency Management,24.0,,English,ONLINE,,PARTTIME,,,50
126,ADMINISTRATION,Master Of Science In Human Resource Management,0.0,,English,CAMPUS,,FULLTIME,10828.0,USD,9
127,ADMINISTRATION,Ma In Professional Development,,,,CAMPUS,,FULLTIME,6750.0,USD,83
128,ADMINISTRATION,Master Of Human Resource Management,48.0,,English,ONLINE,,FULLTIME,7000.0,USD,202
129,ADMINISTRATION,Master Of Human Resource Management,48.0,,English,ONLINE,,PARTTIME,7000.0,USD,202
130,ADMINISTRATION,Master Of Science In Human Resource Development Hrd Programme By Coursework,24.0,,,CAMPUS,,FULLTIME,21000.0,,85
131,ADMINISTRATION,Master In Coaching Emotional Management And Mindfulness,18.0,,Spanish,ONLINE,,FULLTIME,7200.0,EUR,86
132,ADMINISTRATION,Master In Nonprofit Leadership And Management,16.0,,English,CAMPUS,,FULLTIME,1400.0,USD,87
133,ADMINISTRATION,Master In Nonprofit Leadership And Management,16.0,,English,CAMPUS,,PARTTIME,1400.0,USD,87
134,ADMINISTRATION,Master In Nonprofit Leadership And Management,16.0,,English,ONLINE,,FULLTIME,1400.0,USD,87
135,ADMINISTRATION,Master In Nonprofit Leadership And Management,16.0,,English,ONLINE,,PARTTIME,1400.0,USD,87
136,ADMINISTRATION,Master In Public Administration Mpa,,,English,,,,,,519
137,ADMINISTRATION,Master Human Resource Development,24.0,,French,CAMPUS,,PARTTIME,5837.0,EUR,89
138,ADMINISTRATION,Master Of Business Hr Management,24.0,,English,CAMPUS,,FULLTIME,8967.0, AED,90
139,ADMINISTRATION,Master In Neuromanagement And Talent Management,,,Spanish,CAMPUS,,PARTTIME,9000.0,EUR,91
140,ADMINISTRATION,Master In Neuromanagement And Talent Management,,,Spanish,ONLINE,,PARTTIME,9000.0,EUR,91
141,ADMINISTRATION,Master Human Development,,,Dutch,CAMPUS,,,,,92
142,ADMINISTRATION,Master In Public Administration,,,Chinese,CAMPUS,,,,,519
143,ADMINISTRATION,Master Of Human Resource,,,English,ONLINE,,,,,94
144,ADMINISTRATION,Master Of Science In Operations And Technology Management Msotm,9.0,,English,CAMPUS,,PARTTIME,4500.0,USD,95
145,ADMINISTRATION,Masters In People Management In The Workplace,24.0,https://www.uqar.ca/nouvelles/uqar-info/3255-informations-et-precisions-sur-la-covid-19-coronavirus,French,CAMPUS,,FULLTIME,,,96
146,ADMINISTRATION,Online Master Of Administration,24.0,,Spanish,ONLINE,,FULLTIME,,,97
147,ADMINISTRATION,Online Master Of Administration,24.0,,Spanish,ONLINE,,PARTTIME,,,97
148,ADMINISTRATION,Specialization In Human Talent Management,,,Spanish (Colombia),CAMPUS,,,,,359
149,ADMINISTRATION,Masters Degree In Value Network Management And Logistics,,,Spanish (Colombia),CAMPUS,,,,,99
150,ADMINISTRATION,Graduate Program In Administration,,,Portuguese (Brazil),CAMPUS,,,,,100
151,ADMINISTRATION,Master Of Science Justice Administration And Crime Management Degree,0.0,,English,CAMPUS,,FULLTIME,,,101
152,ADMINISTRATION,Master Of Science Justice Administration And Crime Management Degree,0.0,,English,CAMPUS,,PARTTIME,,,101
153,ADMINISTRATION,Master Of Science Justice Administration And Crime Management Degree,0.0,,English,ONLINE,,FULLTIME,,,101
154,ADMINISTRATION,Master Of Science Justice Administration And Crime Management Degree,0.0,,English,ONLINE,,PARTTIME,,,101
155,ADMINISTRATION,Master Of Science In Logistics And Supply Chain Management,24.0,,English,CAMPUS,,FULLTIME,28596.0,USD,316
156,ADMINISTRATION,Master Of Business Administration,,,English,CAMPUS,,,,,494
157,ADMINISTRATION,Master In Human Development,,,Portuguese (Brazil),CAMPUS,,,,,92
158,ADMINISTRATION,Master Of Business Administration,,,English,CAMPUS,,,,,494
159,ADMINISTRATION,Mpa Criminal Justice And Public Safety,18.0,,English,ONLINE,,PARTTIME,,,106
160,ADMINISTRATION,Master In Global Supply Chain Management,,,English,CAMPUS,,FULLTIME,16500.0,EUR,107
161,ADMINISTRATION,English For Logistics,,,Spanish (Mexican),CAMPUS,,,,,NULL
162,ADMINISTRATION,Master In Research In Public Administration And Organisational Science,24.0,,English,CAMPUS,,FULLTIME,2168.0,EUR,109
163,ADMINISTRATION,Msc International Human Resource Management,36.0,https://online.liverpool.ac.uk/programmes/msc-international-hr-management/?utm_source=masterstudies&utm_medium=course-listing&utm_campaign=msc-international-hr-management,English,ONLINE,,PARTTIME,18000.0,GBP,144
164,ADMINISTRATION,Master Of Public Administration,,,English,,,,,,519
165,ADMINISTRATION,Master Of Human Resource Development,,,English,,,,,,89
166,ADMINISTRATION,Master Of Science In Logistics And Supply Chain Management,,,English,,,,,,316
167,ADMINISTRATION,Msc International Transportation Management,,,,,,,,,114
168,ADMINISTRATION,Master Of Public Administration,15.0,,English,CAMPUS,,FULLTIME,7830.0,USD,519
169,ADMINISTRATION,Msc In Operations Management Logistics,24.0,,English,CAMPUS,,FULLTIME,1084.0,EUR,116
170,ADMINISTRATION,Master In Human Talent Management International,18.0,,Spanish,ONLINE,,FULLTIME,900.0,USD,117
171,ADMINISTRATION,Master In Occupational Risk Prevention Management,,,Spanish,CAMPUS,,FULLTIME,2550.0,EUR,118
172,ADMINISTRATION,Master Of Business Administration In Business Administration,,,English,CAMPUS,,,,,119
173,ADMINISTRATION,Master Of Science In Business Process Control And Supply Chain Management Specialization Frontiers In Logistics And Supply Chain Management,24.0,,English,CAMPUS,,FULLTIME,269400.0,SEK,120
174,ADMINISTRATION,Master In Human Talent Management,,,Spanish (Mexican),CAMPUS,,,,,382
175,ADMINISTRATION,Ms In Human Resource Management And Development,,,,CAMPUS,,FULLTIME,,,47
176,ADMINISTRATION,Master Of Science In Transport And Logistics,24.0,https://www.dtu.dk/english/Service/coronavirus,English,CAMPUS,,FULLTIME,7500.0,EUR,123
177,ADMINISTRATION,Master In Public Administration,,,English,ONLINE,,FULLTIME,850.0,USD,519
178,ADMINISTRATION,Master In Public Administration,,,English,ONLINE,,PARTTIME,850.0,USD,519
179,ADMINISTRATION,Master In Leadership And Human Resources Management,24.0,,English,CAMPUS,,FULLTIME,21360.0,USD,125
180,ADMINISTRATION,Master In Transport Management Marketing And Logistics,24.0,,Czech,CAMPUS,,FULLTIME,,,126
181,ADMINISTRATION,Master Of Human Talent Management,,,Spanish (Colombia),CAMPUS,,,,,382
182,ADMINISTRATION,Human Resource Management Ma,,https://www.westminster.ac.uk/human-resource-management-ma?utm_source=keystone&utm_medium=directory&utm_campaign=2020_profiles_ks_dy_b1_wbs_org_human_resource_management_ma,English,CAMPUS,,FULLTIME,12500.0,GBP,128
183,ADMINISTRATION,Master Of Science In Health Analytics And Operations Management,24.0,,English,CAMPUS,,FULLTIME,150000.0,HKD,129
184,ADMINISTRATION,Master Of Science In Health Analytics And Operations Management,24.0,,English,CAMPUS,,PARTTIME,150000.0,HKD,129
185,ADMINISTRATION,Master Of Science In Health Analytics And Operations Management,24.0,,Chinese,CAMPUS,,FULLTIME,150000.0,HKD,129
186,ADMINISTRATION,Master Of Science In Health Analytics And Operations Management,24.0,,Chinese,CAMPUS,,PARTTIME,150000.0,HKD,129
187,ADMINISTRATION,Master Of Public Administration,36.0,,English,ONLINE,,PARTTIME,,,519
188,ADMINISTRATION,Msc Human Resource Management,,,English,ONLINE_AND_CAMPUS COMBINED,,FULLTIME,22000.0,GBP,46
189,ADMINISTRATION,Msc Human Resource Management,,,English,CAMPUS,,FULLTIME,22000.0,GBP,46
190,ADMINISTRATION,Msc Human Resource Management,,,English,ONLINE,,FULLTIME,22000.0,GBP,46
191,ADMINISTRATION,Master In Public Affairs,,,English,,,,,,2315
192,ADMINISTRATION,Master Of Public Administration,24.0,,English,CAMPUS,,FULLTIME,,,519
193,ADMINISTRATION,Master Of Public Administration,24.0,,English,CAMPUS,,PARTTIME,,,519
194,ADMINISTRATION,Master In Business Management And Human Resources,,,Spanish (Mexican),CAMPUS,,,,,134
195,ADMINISTRATION,Master Of Organization Administration,,,Spanish (Colombia),CAMPUS,,,,,135
196,ADMINISTRATION,Master Of Management Nonprofit Management,,,English,,,,,,136
197,ADMINISTRATION,Master Of Management Nonprofit Management,,,Chinese,,,,,,136
198,ADMINISTRATION,Executive Master In Change Emc,18.0,https://www.insead.edu/master-programmes/emc/admissions,English,CAMPUS,,PARTTIME,60800.0,EUR,137
199,ADMINISTRATION,Online Masters Of Public Administration,30.0,https://landing.birmingham.ac.uk/uob/mpa?utm_source=I-%20Masterstudies&utm_medium=listing&utm_campaign=Listing_ms_mpa,English,ONLINE,,PARTTIME,,,138
200,ADMINISTRATION,Msc In International Trade And Logistics,24.0,,English,CAMPUS,,FULLTIME,15000.0,EUR,139
201,ADMINISTRATION,Master Of Administration In International Organisations,24.0,https://international.uni.wroc.pl/en/admission-full-degree-studies/programmes-english/administration-international-organizations-18,English,CAMPUS,,FULLTIME,2200.0,EUR,65
202,ADMINISTRATION,Master In Public Administration,18.0,,English,CAMPUS,,FULLTIME,,,519
203,ADMINISTRATION,Master Of Public Administration,48.0,,English,CAMPUS,,FULLTIME,,,519
204,ADMINISTRATION,Master Of Supply Chain And Logistics Management,16.0,,English,CAMPUS,,FULLTIME,,,143
205,ADMINISTRATION,Master Of Supply Chain And Logistics Management,16.0,,English,ONLINE,,FULLTIME,,,143
206,ADMINISTRATION,Global Master In Human Resources And Talent Development,12.0,,Spanish,ONLINE_AND_CAMPUS COMBINED,,PARTTIME,12500.0,EUR,144
207,ADMINISTRATION,Global Master In Human Resources And Talent Development,12.0,,Spanish,CAMPUS,,PARTTIME,12500.0,EUR,144
