id,name,language,mode,schedule,deadline,field,url,tution_currency,university_id,duration,tution_amount
9855,Interuniversity Master In Research In Philosophy,Spanish,CAMPUS,FULLTIME,,EDUCATION,,EUR,863,,2280
9856,Master Of Arts In Theatre Pedagogy,English,CAMPUS,FULLTIME,,EDUCATION,,EUR,871,24,5000
9857,Master Of Arts In Theatre Pedagogy,Finnish,CAMPUS,FULLTIME,,EDUCATION,,EUR,871,24,5000
9858,Master Of Arts In Theatre Pedagogy,Swedish,CAMPUS,FULLTIME,,EDUCATION,,EUR,871,24,5000
9859,Master Of Arts In Teaching,English,CAMPUS,,,EDUCATION,,,982,,
9860,Ma Education,English,CAMPUS,FULLTIME,,EDUCATION,,GBP,363,,15700
9861,Ma Education,English,CAMPUS,PARTTIME,,EDUCATION,,GBP,363,,15700
9862,Master Of Arts In Cognitive Science,English,CAMPUS,FULLTIME,,EDUCATION,,,1372,24,
9863,Master In Learning And Innovation Christian Education,English,COMBINED,FULLTIME,,EDUCATION,,EUR,2551,,1975
9864,Master In Learning And Innovation Christian Education,English,CAMPUS,FULLTIME,,EDUCATION,,EUR,2551,,1975
9865,Master In Learning And Innovation Christian Education,English,ONLINE,FULLTIME,,EDUCATION,,EUR,2551,,1975
9866,Master Of Educational Leadership Med,English,,,,EDUCATION,,,2168,,
9867,Master Of Arts In Education,English,,,,EDUCATION,,,2084,,
9868,Msc In Tesol With A Specialism In English Medium Instruction,English,CAMPUS,FULLTIME,,EDUCATION,,GBP,404,60,9000
9869,Msc In Tesol With A Specialism In English Medium Instruction,English,CAMPUS,PARTTIME,,EDUCATION,,GBP,404,60,9000
9870,Msc In Tesol With A Specialism In English Medium Instruction,English,ONLINE,FULLTIME,,EDUCATION,,GBP,404,60,9000
9871,Msc In Tesol With A Specialism In English Medium Instruction,English,ONLINE,PARTTIME,,EDUCATION,,GBP,404,60,9000
9872,Ma Education,English,CAMPUS,FULLTIME,,EDUCATION,,GBP,363,24,7850
9873,Ma Education,English,CAMPUS,PARTTIME,,EDUCATION,,GBP,363,24,7850
9874,Ma In Social Work Education,,,,,EDUCATION,,,2553,,
9875,Master In Physical Education,Portuguese (Brazil),CAMPUS,,,EDUCATION,,,1636,,
9876,Master In Higher Education And Student Affairs,English,CAMPUS,FULLTIME,,EDUCATION,https://www.usfca.edu/education/programs/masters-credential-programs/higher-education-student-affairs?utm_campaign=soe-organization-leadership-edd&utm_medium=display&utm_source=masters-studies&utm_content=lead-gen&utm_term=soe,USD,2265,24,1130
9877,University Masters Degree In Teacher Training,Spanish,CAMPUS,FULLTIME,,EDUCATION,,EUR,863,,1307
9878,Ma In Education Special And Inclusive Education,English (UK),CAMPUS,FULLTIME,,EDUCATION,,MYR,392,48,46000
9879,Ma In Education Special And Inclusive Education,English (UK),CAMPUS,PARTTIME,,EDUCATION,,MYR,392,48,46000
9880,Master In Teaching And Higher Education Methodology,Portuguese (Brazil),CAMPUS,FULLTIME,,EDUCATION,,BRL,1238,18,222
9881,Master Of Arts In Teaching,English,,,,EDUCATION,,,982,,
9882,Master Of Science In Education,Spanish (Mexican),CAMPUS,,,EDUCATION,,,2637,,
9883,Master Of Physical Education,Spanish (Mexican),CAMPUS,,,EDUCATION,,,1636,,
9884,Ma In Education Management And Leadership,English,ONLINE,FULLTIME,,EDUCATION,,GBP,2451,10,6500
9885,Ma In Education Management And Leadership,English,ONLINE,PARTTIME,,EDUCATION,,GBP,2451,10,6500
9886,Master Of Music Education,English,CAMPUS,,,EDUCATION,,,2317,,
9887,Master Of Teaching Primary,English,CAMPUS,FULLTIME,,EDUCATION,,,143,16,
9888,Master Of Teaching Primary,English,ONLINE,FULLTIME,,EDUCATION,,,143,16,
9889,Master Of Education Educational Leadership Management,English,CAMPUS,FULLTIME,,EDUCATION,,,2310,16,
9890,Masters Degree In Special Education,Norwegian,CAMPUS,,,EDUCATION,,,255,,
9891,Masters Degree In Educational Processes Distance Learning,Spanish,CAMPUS,FULLTIME,,EDUCATION,,,1913,,
9892,Masters Degree In Educational Processes Distance Learning,Spanish,CAMPUS,PARTTIME,,EDUCATION,,,1913,,
9893,Master Of Education In Literacy Writing And The Teaching Of Writing,English,COMBINED,FULLTIME,,EDUCATION,,USD,1685,,13794
9894,Master Of Education In Literacy Writing And The Teaching Of Writing,English,COMBINED,PARTTIME,,EDUCATION,,USD,1685,,13794
9895,Master Of Education In Literacy Writing And The Teaching Of Writing,English,CAMPUS,FULLTIME,,EDUCATION,,USD,1685,,13794
9896,Master Of Education In Literacy Writing And The Teaching Of Writing,English,CAMPUS,PARTTIME,,EDUCATION,,USD,1685,,13794
9897,Master Of Education In Literacy Writing And The Teaching Of Writing,English,ONLINE,FULLTIME,,EDUCATION,,USD,1685,,13794
9898,Master Of Education In Literacy Writing And The Teaching Of Writing,English,ONLINE,PARTTIME,,EDUCATION,,USD,1685,,13794
9899,Master In Education,Japanese,CAMPUS,,,EDUCATION,,,2225,,
9900,Transformative School Leadership Program Licensure Recommendation Med,English,,,,EDUCATION,,,2282,,
9901,Executive Master In Educational Management Emem,,CAMPUS,PARTTIME,,EDUCATION,,,2306,20,
9902,Master Of Education Leadership Concentration,English,,,,EDUCATION,,,2558,,
9903,Psychological And Pedagogical Education Psychology And Pedagogy In The Social Sphere Master,Russian,CAMPUS,FULLTIME,,EDUCATION,,,78,27,
9904,Psychological And Pedagogical Education Psychology And Pedagogy In The Social Sphere Master,Russian,CAMPUS,PARTTIME,,EDUCATION,,,78,27,
9905,Master In Research In Teaching And Learning Of Experimental Sciences Social Sciences And Mathematics,Spanish,CAMPUS,FULLTIME,,EDUCATION,,,2126,,
9906,Master Of Science For Teachers In Visual Artsall Grades Art Education,English,CAMPUS,FULLTIME,,EDUCATION,,USD,34,24,47522
9907,Master Of Higher Education,Spanish,CAMPUS,,,EDUCATION,,,2559,,
9908,Masters Degree In Leadership And Management Of Educational Centers,Spanish,ONLINE,PARTTIME,,EDUCATION,,EUR,387,,6900
9909,Master Of Education Applied Linguistics,English,CAMPUS,FULLTIME,,EDUCATION,,AUD,1300,12,21440
9910,Master Of Education Applied Linguistics,English,CAMPUS,PARTTIME,,EDUCATION,,AUD,1300,12,21440
9911,Master Of Education Program In Science Education,English,,,,EDUCATION,,,1263,,
9912,Master Of Education Program In Science Education,Thai,,,,EDUCATION,,,1263,,
9913,Ma In School Improvement,English,ONLINE,FULLTIME,,EDUCATION,,,45,24,
9914,Ma In School Improvement,English,ONLINE,PARTTIME,,EDUCATION,,,45,24,
9915,Msn Nurse Educator,English,ONLINE,,,EDUCATION,,,2560,,
9916,Master Educational Needs Men,Dutch,CAMPUS,,,EDUCATION,,,2358,,
9917,Master Of Education In Special Education Concentration In High Incidence,English,ONLINE,FULLTIME,,EDUCATION,,USD,1685,,15048
9918,Master Of Education In Special Education Concentration In High Incidence,English,ONLINE,PARTTIME,,EDUCATION,,USD,1685,,15048
9919,Master Of Arts In Teaching,English,CAMPUS,,,EDUCATION,,,982,,
9920,Master Of Music In Music Education,Spanish,CAMPUS,,,EDUCATION,,,2562,,
9921,Master Of Education,English,ONLINE,PARTTIME,,EDUCATION,,AUD,2563,16,19600
9922,Masters Degree In Management Of Educational Activities In Nature,Spanish,CAMPUS,FULLTIME,,EDUCATION,,EUR,28,24,854
9923,Masters Degree In Management Of Educational Activities In Nature,Spanish,CAMPUS,PARTTIME,,EDUCATION,,EUR,28,24,854
9924,Masters Degree In Management Of Educational Activities In Nature,Gallegan,CAMPUS,FULLTIME,,EDUCATION,,EUR,28,24,854
9925,Masters Degree In Management Of Educational Activities In Nature,Gallegan,CAMPUS,PARTTIME,,EDUCATION,,EUR,28,24,854
9926,Masters Study Programmes In Teaching Methodology,German,CAMPUS,,,EDUCATION,,,2564,,
9927,Ms Education,English,,,,EDUCATION,,,363,,
9928,Ib Theory And Technologies Masters Degree Program,Russian,CAMPUS,FULLTIME,,EDUCATION,,,2566,24,
9929,Ib Theory And Technologies Masters Degree Program,English,CAMPUS,FULLTIME,,EDUCATION,,,2566,24,
9930,Master In Teaching Mit,English,,,,EDUCATION,,,2445,,
9931,Online Msc In Education,English,ONLINE,PARTTIME,,EDUCATION,https://landing.online.gla.ac.uk/ed?utm_source=I-%20Masterstudies&utm_medium=Listing&utm_campaign=MScEd_Listing_MS,,2478,72,
9932,Master Of Education Med Program,English,,,,EDUCATION,,,2568,,
9933,Master Of Arts In Education Mae,English,ONLINE,,,EDUCATION,,,2324,,
9934,Master In Education,Korean,CAMPUS,,,EDUCATION,,,2225,,
9935,Ma In Tesol,English,CAMPUS,FULLTIME,,EDUCATION,,,956,,
9936,Ma In Tesol,English,CAMPUS,PARTTIME,,EDUCATION,,,956,,
9937,Masters Degree In Education With A Major In Educational Administration,Spanish,CAMPUS,,,EDUCATION,,,1677,,
9938,Master Of Science In Physical Education,English,ONLINE,FULLTIME,,EDUCATION,,USD,2244,24,14157
9939,Master Of Science In Physical Education,English,ONLINE,PARTTIME,,EDUCATION,,USD,2244,24,14157
9940,Master In Education,English,COMBINED,FULLTIME,,EDUCATION,,,2225,,
9941,Master In Education,English,COMBINED,PARTTIME,,EDUCATION,,,2225,,
9942,Master In Education,English,CAMPUS,FULLTIME,,EDUCATION,,,2225,,
9943,Master In Education,English,CAMPUS,PARTTIME,,EDUCATION,,,2225,,
9944,Master In Education,English,ONLINE,FULLTIME,,EDUCATION,,,2225,,
9945,Master In Education,English,ONLINE,PARTTIME,,EDUCATION,,,2225,,
9946,Mat In Elementary Stem Education,English,CAMPUS,FULLTIME,,EDUCATION,,USD,623,,1200
9947,Msc Engineering Mechanical Near Stem,English,CAMPUS,FULLTIME,,EDUCATION,,GBP,570,48,13950
9948,Msc Engineering Mechanical Near Stem,English,CAMPUS,PARTTIME,,EDUCATION,,GBP,570,48,13950
9949,Master In Primary Education,English,COMBINED,FULLTIME,,EDUCATION,,EUR,2360,,15000
9950,Master In Primary Education,English,CAMPUS,FULLTIME,,EDUCATION,,EUR,2360,,15000
9951,Master In Primary Education,English,ONLINE,FULLTIME,,EDUCATION,,EUR,2360,,15000
9952,University Masters Degree In Compulsory Secondary Education Baccalaureate Vocational Training And Language Teaching Specialty In Experimental Sciences Physical Education,Spanish,CAMPUS,FULLTIME,,EDUCATION,,EUR,326,,1034
9953,Masters Degree In Educational Technology And Digital Competencies,Spanish,ONLINE,PARTTIME,,EDUCATION,,,181,,
9954,Ma Education Tesol Teaching English To Speakers Of Other Languages,English,CAMPUS,FULLTIME,,EDUCATION,https://pexels.com/,EUR,392,24,7250
9955,Medical And Biological Support In Physical Education And Sport Master,Russian,CAMPUS,FULLTIME,,EDUCATION,,,2571,24,
9956,Medical And Biological Support In Physical Education And Sport Master,Aserbajdsjanian,CAMPUS,FULLTIME,,EDUCATION,,,2571,24,
9957,Master Of Education In Special Education,English,CAMPUS,,,EDUCATION,,,2232,,
9958,Master Of Arts In Teaching English To Speakers Of Other Languages Tesol,English,CAMPUS,FULLTIME,,EDUCATION,,USD,2200,24,12074
9959,Master Of Arts In Teaching Admissions,English,CAMPUS,,,EDUCATION,,,1930,,
9960,Master In Special Education,Chinese,CAMPUS,,,EDUCATION,,,2494,,
9961,Ma Education Teaching And Learning,English,CAMPUS,PARTTIME,,EDUCATION,, AED,499,24,60000
9962,Physical Education Ma,Polish,CAMPUS,,,EDUCATION,,,2420,,
9963,Master Of Arts In Teaching,English,,,,EDUCATION,,,982,,
9964,Ma In Education Teacher Leader Reading Specialty,English,ONLINE,PARTTIME,,EDUCATION,,,45,,
9965,Mestrado Profissional Em Gesto Social Educao E Desenvolvimento Local,Portuguese (Brazil),CAMPUS,,,EDUCATION,,,368,,
9966,Mat Teaching,English,CAMPUS,,,EDUCATION,,,2577,,
9967,Master Of Music Education,English,,,,EDUCATION,,,2317,,
9968,Master Of Education,English,ONLINE,FULLTIME,,EDUCATION,,AUD,2563,16,18560
9969,Master In Catholic Education Leadership,English,CAMPUS,PARTTIME,,EDUCATION,https://www.usfca.edu/education/programs/masters-credential-programs/catholic-educational-leadership?utm_campaign=soe-catholic-education-masters&utm_medium=display&utm_source=masters-studies&utm_content=lead-gen&utm_term=soe,USD,2316,,1130
9970,Master Of Arts In Interdisciplinary Studies,English,COMBINED,FULLTIME,,EDUCATION,,CAD,146,24,36199
9971,Master Of Arts In Interdisciplinary Studies,English,COMBINED,PARTTIME,,EDUCATION,,CAD,146,24,36199
9972,Master Of Arts In Interdisciplinary Studies,English,CAMPUS,FULLTIME,,EDUCATION,,CAD,146,24,36199
9973,Master Of Arts In Interdisciplinary Studies,English,CAMPUS,PARTTIME,,EDUCATION,,CAD,146,24,36199
9974,Master Of Arts In Interdisciplinary Studies,English,ONLINE,FULLTIME,,EDUCATION,,CAD,146,24,36199
9975,Master Of Arts In Interdisciplinary Studies,English,ONLINE,PARTTIME,,EDUCATION,,CAD,146,24,36199
9976,Master Of Education Special Education Collaborative Teacher,English,ONLINE,FULLTIME,,EDUCATION,,USD,2244,24,14586
9977,Master Of Education Special Education Collaborative Teacher,English,ONLINE,PARTTIME,,EDUCATION,,USD,2244,24,14586
9978,Msc In Modeling Of Neuronal And Cognitive Systems,English,COMBINED,FULLTIME,,EDUCATION,,EUR,,24,8000
9979,Msc In Modeling Of Neuronal And Cognitive Systems,English,CAMPUS,FULLTIME,,EDUCATION,,EUR,,24,8000
9980,Msc In Modeling Of Neuronal And Cognitive Systems,English,ONLINE,FULLTIME,,EDUCATION,,EUR,,24,8000
9981,Msc In Tesol With A Specialism In Assessment And Evaluation,English,CAMPUS,FULLTIME,,EDUCATION,,,404,60,
9982,Msc In Tesol With A Specialism In Assessment And Evaluation,English,CAMPUS,PARTTIME,,EDUCATION,,,404,60,
9983,Msc In Tesol With A Specialism In Assessment And Evaluation,English,ONLINE,FULLTIME,,EDUCATION,,,404,60,
9984,Msc In Tesol With A Specialism In Assessment And Evaluation,English,ONLINE,PARTTIME,,EDUCATION,,,404,60,
9985,Master Of Arts In Computer Education And Instructional Technology,English,,,,EDUCATION,,,903,,
9986,Master Of Arts In Computer Education And Instructional Technology,Turkish,,,,EDUCATION,,,903,,
9987,Med In Teaching Literacy And Reading,English,CAMPUS,,,EDUCATION,,,2580,,
9988,Master In Cognitive Neuroscience Mind And Brain,English,CAMPUS,FULLTIME,,EDUCATION,,SEK,872,,130000
9989,Master Of Arts In Sociology Of Education,English,CAMPUS,FULLTIME,,EDUCATION,,,956,72,
9990,Master Of Arts In Sociology Of Education,English,CAMPUS,PARTTIME,,EDUCATION,,,956,72,
9991,Master In Family Educational Guidance,Spanish,ONLINE,PARTTIME,,EDUCATION,,,181,18,
9992,Master Of Arts In English Concentration In Tesol,English,CAMPUS,FULLTIME,,EDUCATION,,,1125,,
9993,Master Of Education In Leadership Meel,English,CAMPUS,FULLTIME,,EDUCATION,,,2253,24,
9994,Master Of Education With A Specialty In Teaching,Spanish (Mexican),CAMPUS,,,EDUCATION,,,2536,,
9995,Masters Degree In Psychopedagogy,Spanish,CAMPUS,,,EDUCATION,,,181,,
9996,Master Of Arts Ma In Educational Psychology,English,CAMPUS,FULLTIME,,EDUCATION,,,2478,24,
9997,Master Of Education Medalta Music,English,CAMPUS,FULLTIME,,EDUCATION,,USD,2165,,10156
9998,Ma In Leadership In Education,English,ONLINE,PARTTIME,,EDUCATION,,,498,36,
9999,Master Of Education In Educational Leadership And Policy Studies Med,English,,,,EDUCATION,,,510,,
10000,Master Of Arts In Education,English,CAMPUS,PARTTIME,,EDUCATION,,SGD,2084,24,23940
10001,Master In Early Care,Spanish,ONLINE,FULLTIME,,EDUCATION,,EUR,147,1,1299
10002,Master In Early Care,Spanish,ONLINE,PARTTIME,,EDUCATION,,EUR,147,1,1299
10003,Ma Educational Leadership,English,CAMPUS,FULLTIME,,EDUCATION,,GBP,2351,36,13950
10004,Ma Educational Leadership,English,CAMPUS,PARTTIME,,EDUCATION,,GBP,2351,36,13950
10005,Ma In Educational Science,English,CAMPUS,FULLTIME,,EDUCATION,,EUR,1201,24,2900
10006,Master Of Education Med Initial Teacher Certification,English,,,,EDUCATION,,,2343,,
10007,Master Of Education Medalta History,English,CAMPUS,FULLTIME,,EDUCATION,,USD,2165,,10156
10008,Master Of Arts In Music,English,,,,EDUCATION,,,3536,,
10009,Master In Education Technologies And Instructional Design,English,ONLINE,FULLTIME,,EDUCATION,,EUR,2583,12,3900
10010,Master In Education Technologies And Instructional Design,English,ONLINE,PARTTIME,,EDUCATION,,EUR,2583,12,3900
10011,Masters Degree In Direction And Management Of Educational Centers,Spanish,ONLINE,PARTTIME,,EDUCATION,,EUR,301,12,5460
10012,Ma International Education And Globalisation,English,CAMPUS,FULLTIME,,EDUCATION,,GBP,269,,10000
10013,Master Art Education In Curatorial Studies,English,CAMPUS,FULLTIME,,EDUCATION,http://www.verso-verso.org,CHF,844,24,720
10014,Masters Of Curriculum And Instruction Early Childhood,English,ONLINE,,,EDUCATION,,,2584,,
10015,Ma In School Pedagogy,,,,,EDUCATION,,,2553,,
10016,Master Of Arts In Teaching,English,ONLINE,FULLTIME,,EDUCATION,,,982,,
10017,Master Of Arts In Teaching,English,ONLINE,PARTTIME,,EDUCATION,,,982,,
10018,Micromasters Program In Instructional Design And Technology University Of Maryland University College,English,ONLINE,FULLTIME,,EDUCATION,https://www.awin1.com/cread.php?awinmid=6798&awinaffid=301267&clickref=&ued=https%3A%2F%2Fwww.edx.org%2Fmicromasters%2Fusmx-umuc-instructional-design-technology,USD,1119,8,716
10019,Micromasters Program In Instructional Design And Technology University Of Maryland University College,English,ONLINE,PARTTIME,,EDUCATION,https://www.awin1.com/cread.php?awinmid=6798&awinaffid=301267&clickref=&ued=https%3A%2F%2Fwww.edx.org%2Fmicromasters%2Fusmx-umuc-instructional-design-technology,USD,1119,8,716
10020,Professional Master Of Education Primary,English,CAMPUS,,,EDUCATION,,,2585,,
10021,Master Integrated Undergraduate And Graduate University Teacher Study Programme,English,,,,EDUCATION,,,1482,,
10022,Master Integrated Undergraduate And Graduate University Teacher Study Programme,Italian,,,,EDUCATION,,,1482,,
10023,Master Integrated Undergraduate And Graduate University Teacher Study Programme,Croatian,,,,EDUCATION,,,1482,,
10024,Ma In Computer Assisted Language Learning Call,English,ONLINE,FULLTIME,,EDUCATION,,EUR,1797,24,4100
10025,Ma In Early Childhood Studies Blended Learning,English,COMBINED,FULLTIME,,EDUCATION,,EUR,1038,24,3995
10026,Ma In Early Childhood Studies Blended Learning,English,CAMPUS,FULLTIME,,EDUCATION,,EUR,1038,24,3995
10027,Ma In Early Childhood Studies Blended Learning,English,ONLINE,FULLTIME,,EDUCATION,,EUR,1038,24,3995
10028,Master In Education,Portuguese (Brazil),CAMPUS,,,EDUCATION,,,2225,,
10029,Master In Educational Engineering,Spanish (Mexican),CAMPUS,,,EDUCATION,,,2588,,
10030,Educational Leadership Ma,English,COMBINED,FULLTIME,,EDUCATION,,,2311,,
10031,Educational Leadership Ma,English,COMBINED,PARTTIME,,EDUCATION,,,2311,,
10032,Educational Leadership Ma,English,CAMPUS,FULLTIME,,EDUCATION,,,2311,,
10033,Educational Leadership Ma,English,CAMPUS,PARTTIME,,EDUCATION,,,2311,,
10034,Educational Leadership Ma,English,ONLINE,FULLTIME,,EDUCATION,,,2311,,
10035,Educational Leadership Ma,English,ONLINE,PARTTIME,,EDUCATION,,,2311,,
10036,Master Of Education,English,CAMPUS,FULLTIME,,EDUCATION,,AUD,2563,36,29800
10037,Master Of Education,English,CAMPUS,PARTTIME,,EDUCATION,,AUD,2563,36,29800
10038,Master Of Education,English,ONLINE,FULLTIME,,EDUCATION,,AUD,2563,36,29800
10039,Master Of Education,English,ONLINE,PARTTIME,,EDUCATION,,AUD,2563,36,29800
10040,Ma In Teaching English As A Second Language,English,CAMPUS,FULLTIME,,EDUCATION,,USD,336,24,41571
10041,Pedagogy And Psychology Masters Degree,Kazakh,CAMPUS,FULLTIME,,EDUCATION,,,1023,24,
10042,Pedagogy And Psychology Masters Degree,Russian (Kazakhstan),CAMPUS,FULLTIME,,EDUCATION,,,1023,24,
10043,Master Of Education,,CAMPUS,FULLTIME,,EDUCATION,,,2563,,
10044,University Masters Degree In Compulsory Secondary Education Baccalaureate Vocational Training And Language Teaching Specializing In Experimental Sciences Experimental Sciences,Spanish,CAMPUS,FULLTIME,,EDUCATION,,EUR,326,,1034
10045,Msc Developmental Psychopathology In Education And Child Studies Research,English,CAMPUS,FULLTIME,,EDUCATION,,EUR,223,24,2209
10046,Ma In Classics With Teaching Licensure,English,CAMPUS,FULLTIME,,EDUCATION,,USD,623,36,54196
10047,Ma In Organizational Leadership Higher Education Student Services,English,ONLINE,PARTTIME,,EDUCATION,,,2589,24,
10048,Master Of Educational Studies,English,CAMPUS,FULLTIME,,EDUCATION,, AED,90,24,7875
10049,Master In Educational Administration,English,CAMPUS,,,EDUCATION,,,94,,
10050,Master Of Education Medalta Mathematics,English,CAMPUS,FULLTIME,,EDUCATION,,USD,2165,,10156
10051,Master In Instructional Systems Learning Technologies,English,CAMPUS,,,EDUCATION,,USD,1938,24,544
10052,Master In Instructional Systems Learning Technologies,English,ONLINE,,,EDUCATION,,USD,1938,24,544
10053,Master Of Science In Education,,COMBINED,,,EDUCATION,,,2637,,
10054,Master Of Science In Education,,CAMPUS,,,EDUCATION,,,2637,,
10055,Master Of Science In Education,,ONLINE,,,EDUCATION,,,2637,,
10056,Master Of Arts Maed,English,CAMPUS,,,EDUCATION,,,1954,,
10057,Master Of Education In Special Education Concentration In Early Intervention,English,ONLINE,FULLTIME,,EDUCATION,,USD,1685,,15048
10058,Master Of Education In Special Education Concentration In Early Intervention,English,ONLINE,PARTTIME,,EDUCATION,,USD,1685,,15048
10059,Master In Second Language Teaching And Pedagogical Design In Digital Environments,English,CAMPUS,FULLTIME,,EDUCATION,,USD,2590,24,6830
10060,Master In Artistic Education,Spanish,CAMPUS,FULLTIME,,EDUCATION,,EUR,1770,,2200
10061,Master In Artistic Education,Spanish,CAMPUS,PARTTIME,,EDUCATION,,EUR,1770,,2200
10062,Master Of Education,English,CAMPUS,,,EDUCATION,,,2563,,
10063,University Masters Degree In Inclusive Education Democracy And Cooperative Learning,Spanish,ONLINE,PARTTIME,,EDUCATION,,EUR,2274,,3170
10064,Master In Mathematics Education,English,CAMPUS,,,EDUCATION,,USD,311,24,1111
10065,Master In Mathematics Education,English,ONLINE,,,EDUCATION,,USD,311,24,1111
10066,Master Of Education Early Childhood Education,English,,,,EDUCATION,,,2257,,
10067,Master Of Education In Stem Teaching,English,,,,EDUCATION,,,480,,
10068,Master Of Education In Foreign Language Also Available With Tesol Option,English,COMBINED,FULLTIME,,EDUCATION,,USD,2335,60,947
10069,Master Of Education In Foreign Language Also Available With Tesol Option,English,COMBINED,PARTTIME,,EDUCATION,,USD,2335,60,947
10070,Master Of Education In Foreign Language Also Available With Tesol Option,English,CAMPUS,FULLTIME,,EDUCATION,,USD,2335,60,947
10071,Master Of Education In Foreign Language Also Available With Tesol Option,English,CAMPUS,PARTTIME,,EDUCATION,,USD,2335,60,947
10072,Master Of Education In Foreign Language Also Available With Tesol Option,English,ONLINE,FULLTIME,,EDUCATION,,USD,2335,60,947
10073,Master Of Education In Foreign Language Also Available With Tesol Option,English,ONLINE,PARTTIME,,EDUCATION,,USD,2335,60,947
10074,Master Of Education With A Specialty In Educational Leadership,Spanish,CAMPUS,,,EDUCATION,,,303,,
10075,Physical Education Ma,Polish,CAMPUS,,,EDUCATION,,,2420,,
10076,Msc In Physics Physics Education,English,CAMPUS,FULLTIME,,EDUCATION,,USD,623,24,54196
10077,Pceo Advanced Mathematics Masters And Teacher Training Mathematics Specialty,Spanish,CAMPUS,FULLTIME,,EDUCATION,,EUR,863,18,1892
10078,Master Of Pedagogy,Spanish (Argentina),CAMPUS,,,EDUCATION,,,2591,,
10079,Master Of Arts In Holistic Education,English,,,,EDUCATION,,,894,,
10080,Master In Physical Activity And Sports,Spanish (Argentina),CAMPUS,,,EDUCATION,,,700,,
10081,University Masters Degree In Special Educational Needs And Early Care,Spanish,ONLINE,,,EDUCATION,,EUR,217,,4980
10082,Educational Technologies Nonthesis Master Program,English,,,,EDUCATION,,,2593,,
10083,Educational Technologies Nonthesis Master Program,Turkish,,,,EDUCATION,,,2593,,
10084,Elearning Masters,English,ONLINE,FULLTIME,,EDUCATION,,,2594,,
10085,Maied Master Of Arts In International Education,English,ONLINE,PARTTIME,,EDUCATION,,EUR,2533,,3450
10086,Master In Interdisciplinary Research And Studies On Eastern Europe,English,CAMPUS,FULLTIME,,EDUCATION,https://www.unibo.it/en/university/covid-19-The-measures-adopted-by-the-University-of-Bologna/covid-misure-universita-di-bologna/?utm_source=Keystone&utm_campaign=Keystone&utm_medium=KeystoneListing,,380,24,
10087,Pedagogical Education Modern Educational Technologies For Teaching Russian Language And Literature Master,Russian,CAMPUS,FULLTIME,,EDUCATION,,,2595,24,
10088,Master Degree In Linguistics Applied To The Teaching Of Spanish As A Foreign Language,Spanish,COMBINED,FULLTIME,,EDUCATION,,EUR,1470,,6350
10089,Master Degree In Linguistics Applied To The Teaching Of Spanish As A Foreign Language,Spanish,COMBINED,PARTTIME,,EDUCATION,,EUR,1470,,6350
10090,Master Degree In Linguistics Applied To The Teaching Of Spanish As A Foreign Language,Spanish,CAMPUS,FULLTIME,,EDUCATION,,EUR,1470,,6350
10091,Master Degree In Linguistics Applied To The Teaching Of Spanish As A Foreign Language,Spanish,CAMPUS,PARTTIME,,EDUCATION,,EUR,1470,,6350
10092,Master Degree In Linguistics Applied To The Teaching Of Spanish As A Foreign Language,Spanish,ONLINE,FULLTIME,,EDUCATION,,EUR,1470,,6350
10093,Master Degree In Linguistics Applied To The Teaching Of Spanish As A Foreign Language,Spanish,ONLINE,PARTTIME,,EDUCATION,,EUR,1470,,6350
10094,University Masters Degree In Compulsory Secondary Education Baccalaureate Vocational Training And Language Teaching Specialization In Educational Guidance Educational Guidance,Spanish,CAMPUS,FULLTIME,,EDUCATION,,EUR,326,,1034
10095,Master Of Fine Arts In Child Culture Design,English,CAMPUS,FULLTIME,,EDUCATION,https://www.gu.se/en/hdk-valand/design,,915,24,
10096,Accelerated Masters Program,English,CAMPUS,FULLTIME,,EDUCATION,,,1622,60,
10097,Master Of Science In Education In Curriculum And Instruction Educational Technology Concentration,English,ONLINE,PARTTIME,,EDUCATION,,,2288,18,
10098,Master Of General Education In Vocational High Schools,French,CAMPUS,FULLTIME,,EDUCATION,,,1889,24,
10099,Master Of Education Full Dissertation,English,CAMPUS,FULLTIME,,EDUCATION,,USD,158,24,3500
10100,Master Of Education Full Dissertation,English,CAMPUS,PARTTIME,,EDUCATION,,USD,158,24,3500
10101,Masters Degree In Montessori Education Specialized In Elementary Education,Spanish,ONLINE,PARTTIME,,EDUCATION,,EUR,2463,24,7650
10102,Masters Degree In Montessori Education Specialized In Elementary Education,English,ONLINE,PARTTIME,,EDUCATION,,EUR,2463,24,7650
10103,Masters Degree In Montessori Education Specialized In Elementary Education,Chinese,ONLINE,PARTTIME,,EDUCATION,,EUR,2463,24,7650
10104,Master Of Arts Ma In Curriculum And Instruction With Teaching And Leadership Concentration,English,ONLINE,FULLTIME,,EDUCATION,,,2596,24,
10105,Master Of Arts Ma In Curriculum And Instruction With Teaching And Leadership Concentration,English,ONLINE,PARTTIME,,EDUCATION,,,2596,24,
10106,Master Of Arts In Special Education,English,ONLINE,FULLTIME,,EDUCATION,,,417,24,
10107,Ma In Early Childhood Education,English,CAMPUS,,,EDUCATION,,,570,,
10108,Master Of Education Elementary Education K,English,ONLINE,FULLTIME,,EDUCATION,,USD,399,,14586
10109,Master Of Education Elementary Education K,English,ONLINE,PARTTIME,,EDUCATION,,USD,399,,14586
10110,Med In Health And Physical Education,English,CAMPUS,,,EDUCATION,,,449,,
