id,name,language,mode,schedule,deadline,field,url,tution_currency,university_id,duration,tution_amount
16611,Master In Italian Studies European Literary Cultures Linguistics Italian Studies,English,CAMPUS,FULLTIME,,HUMANITIES,https://www.unibo.it/en/university/covid-19-The-measures-adopted-by-the-University-of-Bologna/covid-misure-universita-di-bologna/?utm_source=Keystone&utm_campaign=Keystone&utm_medium=KeystoneListing,,380,24,
16612,Master Of Arts Ma In Ministry Leadership,English,CAMPUS,,,HUMANITIES,,,2418,,
16613,Issr Mater Ecclesiae,Italian,CAMPUS,,,HUMANITIES,,,3494,,
16614,Master Of Arts In Linguistics And Literary Studies,English,CAMPUS,FULLTIME,,HUMANITIES,,EUR,558,,962
16615,Master Of Theology Program Mth,English (Canada),CAMPUS,,,HUMANITIES,,,3495,,
16616,Ma Religion In Global Politics,English,CAMPUS,FULLTIME,,HUMANITIES,,GBP,731,36,10680
16617,Ma Religion In Global Politics,English,CAMPUS,PARTTIME,,HUMANITIES,,GBP,731,36,10680
16618,Ma In Multilingualism,English,CAMPUS,FULLTIME,,HUMANITIES,,EUR,15,,2168
16619,Master Of Theology Thm,English,CAMPUS,,,HUMANITIES,,,3475,,
16620,Ma Applied Theology,,CAMPUS,,,HUMANITIES,,,2207,,
16621,Master Of Fine Arts Mfa Creative Writing,English,CAMPUS,,,HUMANITIES,,,982,,
16622,Master Of Science In Library And Information Science Public Librarianship,English,ONLINE,PARTTIME,,HUMANITIES,,,3470,24,
16623,Ma In Mythological Studies,English,CAMPUS,FULLTIME,,HUMANITIES,,,3427,36,
16624,Human Sciences,English,,,,HUMANITIES,,,3498,,
16625,Human Sciences,Japanese,,,,HUMANITIES,,,3498,,
16626,Master Of Information Science,English,CAMPUS,,,HUMANITIES,,,3499,,
16627,Master Of Theology Thm,English,CAMPUS,FULLTIME,,HUMANITIES,,CAD,3475,,18750
16628,Master Of Theology Thm,English,CAMPUS,PARTTIME,,HUMANITIES,,CAD,3475,,18750
16629,Master In Modern And Contemporary Literature And Culture,English,CAMPUS,FULLTIME,,HUMANITIES,,GBP,404,24,9900
16630,Master In Modern And Contemporary Literature And Culture,English,CAMPUS,PARTTIME,,HUMANITIES,,GBP,404,24,9900
16631,Catholic Church Music,German,,,,HUMANITIES,,,2423,,
16632,Ma In Transformative Leadership And Spirituality,English,COMBINED,FULLTIME,,HUMANITIES,,CAD,3474,48,7832
16633,Ma In Transformative Leadership And Spirituality,English,COMBINED,PARTTIME,,HUMANITIES,,CAD,3474,48,7832
16634,Ma In Transformative Leadership And Spirituality,English,CAMPUS,FULLTIME,,HUMANITIES,,CAD,3474,48,7832
16635,Ma In Transformative Leadership And Spirituality,English,CAMPUS,PARTTIME,,HUMANITIES,,CAD,3474,48,7832
16636,Ma In Transformative Leadership And Spirituality,English,ONLINE,FULLTIME,,HUMANITIES,,CAD,3474,48,7832
16637,Ma In Transformative Leadership And Spirituality,English,ONLINE,PARTTIME,,HUMANITIES,,CAD,3474,48,7832
16638,Master In Bioethics,Spanish,ONLINE,PARTTIME,,HUMANITIES,,,4122,24,
16639,Interdisciplinary Studies Ma,English,CAMPUS,FULLTIME,,HUMANITIES,,,2426,60,
16640,Master In Economic And Social History,English,CAMPUS,FULLTIME,,HUMANITIES,,GBP,404,24,9900
16641,Master In Economic And Social History,English,CAMPUS,PARTTIME,,HUMANITIES,,GBP,404,24,9900
16642,Master In History And Philosophy Of Science,English,CAMPUS,FULLTIME,,HUMANITIES,http://students.uu.nl/beta/geschiedenis-en-filosofie-van-de-natuurwetenschappen,EUR,109,24,2168
16643,Msc In Environment Heritage And Policy,English,CAMPUS,FULLTIME,,HUMANITIES,,,77,24,
16644,Msc In Environment Heritage And Policy,English,CAMPUS,PARTTIME,,HUMANITIES,,,77,24,
16645,Mphil In Humanities,English,CAMPUS,FULLTIME,,HUMANITIES,,HKD,357,48,42100
16646,Mphil In Humanities,English,CAMPUS,PARTTIME,,HUMANITIES,,HKD,357,48,42100
16647,Master Of Arts In History,English,ONLINE,,,HUMANITIES,,,876,,
16648,Master In Linguistic Theory And Language Description,English,CAMPUS,FULLTIME,,HUMANITIES,,RUB,533,24,390000
16649,Mamsc In Linguistics Language And Communication Technologies Double Degree Program,English,CAMPUS,FULLTIME,,HUMANITIES,,EUR,15,24,2168
16650,Master Of Theology Thm,English,,,,HUMANITIES,,,3475,,
16651,Master In Mediaeval History,English,CAMPUS,FULLTIME,,HUMANITIES,,GBP,404,,9900
16652,Master In History,Portuguese (Brazil),CAMPUS,,,HUMANITIES,,,2505,,
16653,Masters Degree In Education And Multimedia,Portuguese (Portugal),CAMPUS,FULLTIME,,HUMANITIES,,EUR,,24,1600
16654,Msc In History Online Learning,English,ONLINE,FULLTIME,,HUMANITIES,,GBP,853,24,13800
16655,Msc In History Online Learning,English,ONLINE,PARTTIME,,HUMANITIES,,GBP,853,24,13800
16656,Professional Writing Ms,English,,,,HUMANITIES,,,3451,,
16657,Spiritual And Energetic Practices Master,English,ONLINE,FULLTIME,,HUMANITIES,,,3217,0,
16658,Spiritual And Energetic Practices Master,English,ONLINE,PARTTIME,,HUMANITIES,,,3217,0,
16659,Master Of Arts In History,English,CAMPUS,,,HUMANITIES,,,876,,
16660,Master In Foreign Regionovedenie,,CAMPUS,FULLTIME,,HUMANITIES,,RUB,3500,,75000
16661,Ma In Library And Information Studies,English,CAMPUS,,,HUMANITIES,,,3465,,
16662,Ma In Library And Information Studies,English,ONLINE,,,HUMANITIES,,,3465,,
16663,Philosophy Ma,English,CAMPUS,FULLTIME,,HUMANITIES,https://www.newschool.edu/m/nssr/?utm_source=masterstudies&utm_medium=hyperlink_listing&utm_campaign=pm_nssr&utm_term=philosophy,USD,539,24,2260
16664,Philosophy Ma,English,CAMPUS,PARTTIME,,HUMANITIES,https://www.newschool.edu/m/nssr/?utm_source=masterstudies&utm_medium=hyperlink_listing&utm_campaign=pm_nssr&utm_term=philosophy,USD,539,24,2260
16665,Master In Human Rights And Humanitarian Action,English,CAMPUS,FULLTIME,,HUMANITIES,https://www.sciencespo.fr/admissions/en/graduate-international-admissions.html?utm_campaign=keystone&utm_content=admission_master_pim,,1248,24,
16666,Master In Human Rights And Humanitarian Action,French,CAMPUS,FULLTIME,,HUMANITIES,https://www.sciencespo.fr/admissions/en/graduate-international-admissions.html?utm_campaign=keystone&utm_content=admission_master_pim,,1248,24,
16667,Masters Degree In Diplomacy And International Organizations,Spanish,CAMPUS,FULLTIME,,HUMANITIES,,,3501,24,
16668,Masters Degree In Diplomacy And International Organizations,English,CAMPUS,FULLTIME,,HUMANITIES,,,3501,24,
16669,Master Of Education Library Media,English,ONLINE,FULLTIME,,HUMANITIES,,USD,2244,24,14157
16670,Master Of Education Library Media,English,ONLINE,PARTTIME,,HUMANITIES,,USD,2244,24,14157
16671,Master In Japanese Literature,Japanese,CAMPUS,,,HUMANITIES,,,2373,,
16672,Master In History,English,ONLINE,FULLTIME,,HUMANITIES,,GBP,2505,72,8640
16673,Master In History,English,ONLINE,PARTTIME,,HUMANITIES,,GBP,2505,72,8640
16674,Master Of Ministry Mmin,,COMBINED,FULLTIME,,HUMANITIES,,,2298,,
16675,Master Of Ministry Mmin,,COMBINED,PARTTIME,,HUMANITIES,,,2298,,
16676,Master Of Ministry Mmin,,CAMPUS,FULLTIME,,HUMANITIES,,,2298,,
16677,Master Of Ministry Mmin,,CAMPUS,PARTTIME,,HUMANITIES,,,2298,,
16678,Master Of Ministry Mmin,,ONLINE,FULLTIME,,HUMANITIES,,,2298,,
16679,Master Of Ministry Mmin,,ONLINE,PARTTIME,,HUMANITIES,,,2298,,
16680,Ma In English With Creative Writing,English (UK),CAMPUS,FULLTIME,,HUMANITIES,,MYR,392,36,36800
16681,Ma In English With Creative Writing,English (UK),CAMPUS,PARTTIME,,HUMANITIES,,MYR,392,36,36800
16682,Master Of Science In Computer Communication And Information Sciences Communications Engineering,English,CAMPUS,FULLTIME,,HUMANITIES,,EUR,538,24,15000
16683,Master Of Science In Computer Communication And Information Sciences Communications Engineering,Finnish,CAMPUS,FULLTIME,,HUMANITIES,,EUR,538,24,15000
16684,Master Of Science In Computer Communication And Information Sciences Communications Engineering,Swedish,CAMPUS,FULLTIME,,HUMANITIES,,EUR,538,24,15000
16685,Master Of Arts In Practical Theology With A Specialization In Health Care Mission,English,CAMPUS,FULLTIME,,HUMANITIES,,,2301,84,
16686,Master Of Arts In Practical Theology With A Specialization In Health Care Mission,English,CAMPUS,PARTTIME,,HUMANITIES,,,2301,84,
16687,Master Of Marriage And Family Therapy,English,CAMPUS,FULLTIME,,HUMANITIES,,,3197,0,
16688,Master Of Humanities English Concentration,,ONLINE,PARTTIME,,HUMANITIES,,USD,976,,17500
16689,Master In Historical Culture And Medieval Worlds,French,,FULLTIME,,HUMANITIES,,,3287,24,
16690,Master Of Arts In Leadership Ministry,English,CAMPUS,FULLTIME,,HUMANITIES,,,2324,0,
16691,Master In Russian Studies,English,CAMPUS,FULLTIME,,HUMANITIES,,EUR,763,24,13000
16692,Ma In Gaelic Literature,English,ONLINE,FULLTIME,,HUMANITIES,https://www.ucc.ie/en/modern-irish/,EUR,300,24,7300
16693,Ma In Gaelic Literature,English,ONLINE,PARTTIME,,HUMANITIES,https://www.ucc.ie/en/modern-irish/,EUR,300,24,7300
16694,Ma Japanese Studies And Intensive Language,English,CAMPUS,FULLTIME,,HUMANITIES,,GBP,731,48,11520
16695,Ma Japanese Studies And Intensive Language,English,CAMPUS,PARTTIME,,HUMANITIES,,GBP,731,48,11520
16696,Master Of Philosophy Research,English,CAMPUS,FULLTIME,,HUMANITIES,,EUR,1276,24,962
16697,Ma In Linguistics,Russian,CAMPUS,FULLTIME,,HUMANITIES,,,1264,24,
16698,Ma In Linguistics,Russian,CAMPUS,PARTTIME,,HUMANITIES,,,1264,24,
16699,Ma In Writing Editing And Mediating,English,CAMPUS,FULLTIME,,HUMANITIES,,EUR,15,,2168
16700,Med In English As A Second Language Curriculum And Instruction,English,CAMPUS,,,HUMANITIES,,,3502,,
16701,Ma In Theology,English,CAMPUS,FULLTIME,,HUMANITIES,,CAD,3493,24,7832
16702,Ma In Theology,French,CAMPUS,FULLTIME,,HUMANITIES,,CAD,3493,24,7832
16703,Masters Degree In Modern History Monarchy Of Spain Thth Centuries,Spanish,COMBINED,FULLTIME,,HUMANITIES,,EUR,28,24,854
16704,Masters Degree In Modern History Monarchy Of Spain Thth Centuries,Spanish,COMBINED,PARTTIME,,HUMANITIES,,EUR,28,24,854
16705,Masters Degree In Modern History Monarchy Of Spain Thth Centuries,Spanish,CAMPUS,FULLTIME,,HUMANITIES,,EUR,28,24,854
16706,Masters Degree In Modern History Monarchy Of Spain Thth Centuries,Spanish,CAMPUS,PARTTIME,,HUMANITIES,,EUR,28,24,854
16707,Masters Degree In Modern History Monarchy Of Spain Thth Centuries,Spanish,ONLINE,FULLTIME,,HUMANITIES,,EUR,28,24,854
16708,Masters Degree In Modern History Monarchy Of Spain Thth Centuries,Spanish,ONLINE,PARTTIME,,HUMANITIES,,EUR,28,24,854
16709,Masters Degree In Modern History Monarchy Of Spain Thth Centuries,Gallegan,COMBINED,FULLTIME,,HUMANITIES,,EUR,28,24,854
16710,Masters Degree In Modern History Monarchy Of Spain Thth Centuries,Gallegan,COMBINED,PARTTIME,,HUMANITIES,,EUR,28,24,854
16711,Masters Degree In Modern History Monarchy Of Spain Thth Centuries,Gallegan,CAMPUS,FULLTIME,,HUMANITIES,,EUR,28,24,854
16712,Masters Degree In Modern History Monarchy Of Spain Thth Centuries,Gallegan,CAMPUS,PARTTIME,,HUMANITIES,,EUR,28,24,854
16713,Masters Degree In Modern History Monarchy Of Spain Thth Centuries,Gallegan,ONLINE,FULLTIME,,HUMANITIES,,EUR,28,24,854
16714,Masters Degree In Modern History Monarchy Of Spain Thth Centuries,Gallegan,ONLINE,PARTTIME,,HUMANITIES,,EUR,28,24,854
16715,Ma In Field Archaeology On Land And Under The Sea,English,CAMPUS,FULLTIME,,HUMANITIES,,EUR,2200,12,5125
16716,Ma In The Black Sea And Eastern Mediterranean Studies,English,CAMPUS,FULLTIME,,HUMANITIES,,EUR,1573,12,2500
16717,Ma In The Black Sea And Eastern Mediterranean Studies,English,CAMPUS,PARTTIME,,HUMANITIES,,EUR,1573,12,2500
16718,Master Of Georgian Literature History,Georgian,CAMPUS,FULLTIME,,HUMANITIES,,,68,24,
16719,Ma In Creative Writing,English,CAMPUS,FULLTIME,,HUMANITIES,,GBP,1000,24,15200
16720,Ma In Creative Writing,English,CAMPUS,PARTTIME,,HUMANITIES,,GBP,1000,24,15200
16721,Master In Philosophy Politics And Economics,English,CAMPUS,FULLTIME,,HUMANITIES,https://www.uni-wh.de/chat/?unibuddy=inbox%2Fchatwith%2F601193f16db8db0bb22c63df&,EUR,3503,16,5610
16722,Master In Eastern European And Russian Studies,English,CAMPUS,FULLTIME,,HUMANITIES,,EUR,1174,12,3989
16723,Master Of Fine Arts In Creative Writing,English,,,,HUMANITIES,,,982,,
16724,Mfa In Literary Translation,English,CAMPUS,FULLTIME,,HUMANITIES,,USD,827,,29280
16725,Mfa In Literary Translation,English,CAMPUS,PARTTIME,,HUMANITIES,,USD,827,,29280
16726,Mfa In Literary Translation,Arabic,CAMPUS,FULLTIME,,HUMANITIES,,USD,827,,29280
16727,Mfa In Literary Translation,Arabic,CAMPUS,PARTTIME,,HUMANITIES,,USD,827,,29280
16728,Mfa In Literary Translation,German,CAMPUS,FULLTIME,,HUMANITIES,,USD,827,,29280
16729,Mfa In Literary Translation,German,CAMPUS,PARTTIME,,HUMANITIES,,USD,827,,29280
16730,Mfa In Literary Translation,Greek,CAMPUS,FULLTIME,,HUMANITIES,,USD,827,,29280
16731,Mfa In Literary Translation,Greek,CAMPUS,PARTTIME,,HUMANITIES,,USD,827,,29280
16732,Mfa In Literary Translation,Japanese,CAMPUS,FULLTIME,,HUMANITIES,,USD,827,,29280
16733,Mfa In Literary Translation,Japanese,CAMPUS,PARTTIME,,HUMANITIES,,USD,827,,29280
16734,Mfa In Literary Translation,Latin,CAMPUS,FULLTIME,,HUMANITIES,,USD,827,,29280
16735,Mfa In Literary Translation,Latin,CAMPUS,PARTTIME,,HUMANITIES,,USD,827,,29280
16736,Mfa In Literary Translation,Persian,CAMPUS,FULLTIME,,HUMANITIES,,USD,827,,29280
16737,Mfa In Literary Translation,Persian,CAMPUS,PARTTIME,,HUMANITIES,,USD,827,,29280
16738,Mfa In Literary Translation,Spanish,CAMPUS,FULLTIME,,HUMANITIES,,USD,827,,29280
16739,Mfa In Literary Translation,Spanish,CAMPUS,PARTTIME,,HUMANITIES,,USD,827,,29280
16740,Master Of Arts In Foreign Languages And Literature,,,,,HUMANITIES,,,1753,,
16741,Master In English Philology,English,CAMPUS,FULLTIME,,HUMANITIES,,,3434,24,
16742,Master Philosophy In Methodological Cognitive And Humanitarian Space,Russian,CAMPUS,FULLTIME,,HUMANITIES,,,1465,24,
16743,Master Of Fine Arts In Creative Writing,English,CAMPUS,FULLTIME,,HUMANITIES,,EUR,982,,10000
16744,Master In Practical Shin Buddhist Studies,Japanese,CAMPUS,,,HUMANITIES,,,3504,,
16745,Msc In Classics,English,CAMPUS,FULLTIME,,HUMANITIES,,GBP,853,,10700
16746,Msc In Classics,English,CAMPUS,PARTTIME,,HUMANITIES,,GBP,853,,10700
16747,Master Of Arts In Christian Ministry,English,CAMPUS,,,HUMANITIES,,,3447,,
16748,Master Of Arts In Pentecostal Charismatic Studies,English,CAMPUS,FULLTIME,,HUMANITIES,,,3117,,
16749,Master In English Language And Literature,English,COMBINED,FULLTIME,,HUMANITIES,,EUR,1326,24,2500
16750,Master In English Language And Literature,English,CAMPUS,FULLTIME,,HUMANITIES,,EUR,1326,24,2500
16751,Master In English Language And Literature,English,ONLINE,FULLTIME,,HUMANITIES,,EUR,1326,24,2500
