id,name,country,quality_of_life_index,purchasing_power_index,safety_index,health_care_index,cost_of_living_index,property_price_to_income_ratio,traffic_commute_time_index,pollution_index,climate_index
0,Kabul,Afghanistan,NULL,21.12,21.47,29.06,23.82,14.82,56.17,92.0,NULL
1,Tirana,Albania,90.91,31.24,56.95,48.69,38.10,16.02,39.93,87.82,86.43
2,Algiers,Algeria,78.36,21.75,45.56,54.45,29.91,28.56,56.08,70.38,94.82
3,Constantine,Algeria,91.58,24.92,55.32,40.28,27.61,14.00,55.5,68.82,84.71
4,Jijel,Algeria,NULL,NULL,54.66,43.06,NULL,13.02,20.0,53.45,NULL
5,Oran,Algeria,68.73,21.01,45.78,55.32,28.43,22.22,105.0,58.87,96.35
6,Setif,Algeria,26.16,20.84,39.92,59.26,26.38,94.89,13.5,72.41,80.17
7,Skikda,Algeria,NULL,NULL,86.76,22.22,NULL,NULL,3.0,117.24,NULL
8,Tebessa,Algeria,NULL,NULL,48.53,43.52,NULL,6.67,25.0,22.41,82.86
9,Tiziouzou,Algeria,NULL,NULL,41.2,44.44,NULL,9.22,15.0,95.69,94.76
10,Tlemcen,Algeria,NULL,NULL,43.55,42.82,NULL,21.35,56.67,40.52,89.09
11,Luanda,Angola,52.09,24.50,32.8,38.31,62.70,16.60,56.33,97.55,79.91
12,Saint Johns,Antigua And Barbuda,154.56,62.33,52.53,62.14,76.13,6.92,19.33,24.41,56.94
13,Buenos Aires,Argentina,95.26,27.93,36.92,69.39,35.14,32.34,48.15,52.43,98.28
14,Cordoba,Argentina,NULL,NULL,39.84,70.13,NULL,7.93,33.0,72.3,99.95
15,Mendoza,Argentina,NULL,NULL,31.74,71.83,NULL,21.26,42.67,39.29,87.76
16,Salta,Argentina,NULL,NULL,49.02,91.67,NULL,9.99,20.0,52.5,94.43
17,San Juan,Argentina,126.38,67.23,30.98,63.45,69.68,5.54,37.46,50.83,71.25
18,Tucuman,Argentina,NULL,NULL,19.78,77.78,NULL,NULL,45.0,66.38,NULL
19,Yerevan,Armenia,120.32,30.04,77.9,56.37,33.34,16.78,32.19,57.19,63.42
20,Aruba,Aruba,NULL,NULL,79.12,47.22,NULL,NULL,7.0,13.79,59.66
21,Adelaide,Australia,204.75,103.84,70.82,80.75,75.78,4.37,24.18,18.17,94.96
22,Albury,Australia,NULL,NULL,45.95,80.56,NULL,NULL,11.5,11.18,90.27
23,Bathurst,Australia,NULL,NULL,52.81,97.22,NULL,NULL,11.0,22.01,89.58
24,Brisbane,Australia,190.13,102.54,65.43,82.09,78.33,6.25,39.88,22.66,98.07
25,Buderim,Australia,NULL,NULL,70.31,76.85,NULL,4.07,40.0,11.21,98.28
26,Bundaberg,Australia,NULL,NULL,62.26,91.67,NULL,NULL,40.0,41.7,96.85
27,Cairns,Australia,153.79,74.92,39.11,67.41,77.46,5.68,39.88,28.92,89.82
28,Canberra,Australia,207.21,104.16,77.56,82.17,76.15,5.19,23.91,13.37,82.72
29,Coffs Harbour,Australia,NULL,NULL,64.49,64.81,NULL,NULL,21.67,17.82,97.98
30,Darwin,Australia,161.46,110.76,41.54,56.53,80.82,16.16,24.65,24.08,79.19
31,Denver,Australia,169.22,135.09,54.99,69.41,75.49,3.88,36.24,43.92,56.28
32,Derby,Australia,187.90,124.48,55.66,75.69,70.59,5.72,33.86,29.83,88.79
33,Dubbo,Australia,NULL,NULL,40.08,75.0,NULL,NULL,8.0,22.59,NULL
34,Geraldton,Australia,NULL,NULL,30.64,63.89,NULL,4.36,12.0,24.71,96.15
35,Hobart,Australia,200.41,103.19,67.68,65.07,71.84,4.12,20.78,13.87,90.62
36,Hoppers Crossing,Australia,NULL,NULL,48.41,100.0,NULL,NULL,17.0,22.41,96.09
37,Ipswich,Australia,NULL,NULL,43.76,70.37,NULL,NULL,20.0,46.55,96.30
38,Launceston,Australia,NULL,NULL,57.12,61.81,NULL,5.71,13.33,43.33,87.08
39,Melbourne,Australia,178.17,103.50,56.07,76.37,75.90,8.13,40.51,25.91,94.30
40,Perth,Australia,190.71,113.08,58.09,77.79,77.15,5.45,35.62,23.4,95.71
41,Richmond,Australia,195.31,135.36,54.11,73.86,67.68,4.01,21.96,31.14,81.27
42,Rockhampton,Australia,NULL,NULL,29.64,72.22,NULL,NULL,29.67,20.57,94.43
43,Sydney,Australia,179.81,103.49,66.46,78.62,82.41,10.28,43.55,27.5,97.07
44,Townsville,Australia,NULL,NULL,43.17,76.51,NULL,NULL,18.43,27.54,92.07
45,Dornbirn,Austria,NULL,NULL,92.31,68.06,NULL,9.98,40.0,10.34,NULL
46,Innsbruck,Austria,168.64,66.54,76.32,75.62,76.60,15.08,25.89,23.33,74.57
47,Klagenfurt,Austria,160.11,65.96,56.55,53.47,76.86,9.76,9.0,28.16,74.35
48,Vienna,Austria,181.37,78.04,73.57,78.83,67.09,13.89,26.37,17.44,81.77
49,Villach,Austria,180.39,69.95,71.98,73.53,76.23,7.63,17.39,21.54,75.94
50,Baku,Azerbaijan,103.94,27.95,69.01,44.26,31.49,17.39,37.63,75.84,91.40
51,Freeport,Bahamas,186.89,88.18,83.82,19.44,83.12,1.25,12.5,13.79,80.78
52,George Town,Bahamas,146.34,54.90,67.65,81.54,33.90,8.58,25.0,55.46,58.15
53,Nassau,Bahamas,114.58,46.61,35.62,42.48,86.12,4.36,28.5,60.46,85.98
54,Manama,Bahrain,144.50,62.56,78.59,66.42,54.09,6.21,30.75,61.24,64.31
55,Dhaka,Bangladesh,54.00,23.07,34.92,40.02,35.56,17.43,58.52,93.33,71.29
56,Khulna,Bangladesh,NULL,NULL,48.02,80.56,NULL,NULL,22.5,51.07,NULL
57,Bridgetown,Barbados,NULL,38.50,59.54,66.11,87.60,NULL,36.67,20.69,71.34
58,Christchurch,Barbados,188.43,89.23,60.12,79.94,75.34,4.76,22.43,23.08,88.79
59,Brest,Belarus,98.45,34.50,39.52,26.94,27.69,10.11,28.33,65.34,74.17
60,Brest,Belarus,NULL,NULL,46.1,87.4,NULL,NULL,35.0,28.07,93.14
61,Minsk,Belarus,107.46,31.53,39.65,46.23,32.96,18.82,30.22,41.56,64.37
62,Antwerp,Belgium,155.54,86.30,63.58,80.53,71.15,5.78,38.32,59.1,85.42
63,Brussels,Belgium,143.40,88.63,48.33,74.42,73.53,6.66,37.0,62.13,83.85
64,Belize City,Belize,112.56,28.12,35.35,47.78,61.86,6.72,0.0,67.82,67.93
65,Belmopan,Belize,NULL,NULL,56.62,35.42,NULL,NULL,20.5,44.54,68.24
66,Cotonou,Benin,NULL,NULL,62.71,44.44,NULL,NULL,26.0,87.93,61.89
67,Hamilton,Bermuda,174.55,79.40,68.92,74.78,148.93,6.87,39.62,15.92,91.82
68,Hamilton,Bermuda,141.56,85.02,45.93,80.59,65.36,8.05,33.03,55.35,61.06
69,Thimphu,Bhutan,102.64,19.66,62.57,62.64,42.77,45.13,0.0,60.58,84.68
70,Cochabamba,Bolivia,100.84,38.98,32.29,46.97,32.67,8.11,28.4,80.54,88.74
71,La Paz,Bolivia,77.11,37.06,46.18,45.83,37.54,9.83,59.2,81.66,55.46
72,Santa Cruz,Bolivia,108.49,33.11,38.25,51.11,37.85,10.15,35.6,59.67,81.58
73,Sarajevo,Bosnia And Herzegovina,119.82,44.14,55.93,57.47,37.00,11.68,28.12,68.12,78.18
74,Gaborone,Botswana,93.94,53.84,45.38,60.72,41.65,56.36,28.53,44.1,88.87
75,Americana,Brazil,NULL,NULL,14.22,47.22,NULL,NULL,35.0,79.31,NULL
76,Bauru,Brazil,NULL,NULL,54.83,66.67,NULL,NULL,16.25,44.25,91.76
77,Belem,Brazil,90.01,23.30,22.44,46.28,33.79,12.26,29.25,60.44,64.56
78,Belo Horizonte,Brazil,104.16,20.81,36.22,63.61,31.76,20.78,43.23,52.49,98.50
79,Brasilia,Brazil,139.93,44.77,39.45,51.17,35.94,10.77,29.74,32.89,98.97
80,Campinas,Brazil,125.61,31.94,33.5,60.98,38.62,11.75,27.96,47.5,98.87
81,Campo Grande,Brazil,127.54,18.19,46.59,63.89,31.55,16.88,49.25,24.08,96.36
82,Cuiaba,Brazil,NULL,NULL,35.0,65.28,NULL,9.29,18.0,78.45,82.29
83,Curitiba,Brazil,134.37,30.01,37.86,66.14,30.52,16.10,32.24,31.43,99.60
84,Florianopolis,Brazil,124.08,31.29,47.56,58.31,31.68,15.78,44.76,39.82,97.00
85,Fortaleza,Brazil,83.77,19.98,21.73,49.05,31.85,20.40,45.33,52.85,80.35
86,Foz Do Iguau,Brazil,NULL,NULL,40.44,56.94,NULL,18.04,35.67,17.82,96.86
87,Londrina,Brazil,NULL,NULL,46.56,70.83,NULL,NULL,25.86,29.31,97.01
88,Manaus,Brazil,NULL,NULL,29.16,45.98,NULL,NULL,37.88,79.34,67.93
89,Maringa,Brazil,NULL,NULL,50.36,72.69,NULL,12.50,26.0,11.21,97.27
90,Porto Alegre,Brazil,115.78,35.25,26.35,63.3,31.77,12.94,31.98,56.43,98.74
91,Recife,Brazil,91.68,35.71,23.51,61.94,34.46,11.93,45.79,70.93,79.28
92,Salvador,Brazil,NULL,NULL,24.07,57.81,NULL,NULL,38.35,41.21,82.81
93,Sao Paulo,Brazil,84.00,29.48,29.7,58.35,35.95,17.09,50.54,79.55,99.04
94,Sao Paulo,Brazil,84.00,29.48,29.7,58.35,35.95,17.09,50.54,79.55,99.04
95,Teresina,Brazil,NULL,NULL,23.87,62.78,NULL,19.02,43.0,39.66,52.40
96,Uberlandia,Brazil,NULL,NULL,29.72,57.64,NULL,13.79,24.5,35.78,98.61
97,Vila Velha,Brazil,NULL,NULL,33.97,51.85,NULL,28.12,30.0,60.63,90.28
98,Vitoria,Brazil,124.08,42.13,52.0,67.07,32.26,10.71,42.11,61.09,90.39
99,Bandar Seri Begawan,Brunei,177.07,84.88,72.94,75.89,47.45,3.19,27.62,31.43,56.98
100,Sofia,Bulgaria,124.88,55.53,57.37,57.48,41.03,9.17,30.7,68.59,76.01
101,Varna,Bulgaria,132.34,45.79,63.36,61.79,38.87,8.74,30.85,64.02,85.08
102,Phnom Penh,Cambodia,62.84,14.58,47.03,49.0,50.33,31.79,30.85,80.5,59.43
103,Siem Reap,Cambodia,87.59,8.21,63.74,41.53,47.97,30.63,7.5,69.31,63.63
104,Douala,Cameroon,43.86,13.48,24.77,34.03,42.43,20.35,40.0,94.14,59.46
105,Yaounde,Cameroon,NULL,NULL,52.21,46.76,NULL,9.03,20.0,93.41,88.55
106,Airdrie,Canada,NULL,NULL,62.06,87.5,NULL,5.17,31.0,43.97,NULL
107,Burlington,Canada,199.12,123.73,64.48,70.93,86.87,2.99,25.0,7.93,55.47
108,Calgary,Canada,180.43,120.76,64.69,75.74,70.37,3.50,30.0,24.0,33.09
109,Cambridge,Canada,178.62,92.68,71.06,74.47,72.56,8.73,33.56,32.18,91.37
110,Charlottetown,Canada,171.40,65.41,67.59,55.56,74.11,2.96,18.33,11.15,48.57
111,Edmonton,Canada,169.46,109.68,56.54,78.68,70.79,3.46,29.47,29.37,32.11
112,Fort Mcmurray,Canada,NULL,NULL,40.79,64.26,NULL,3.21,43.08,40.01,6.57
113,Fredericton,Canada,165.29,74.00,68.67,56.89,72.94,2.48,21.08,18.24,33.20
114,Grande Prairie,Canada,150.32,73.87,35.77,79.4,78.98,4.51,17.33,17.89,12.39
115,Halifax,Canada,168.91,87.10,59.3,69.29,73.64,5.05,30.46,22.96,58.99
116,Hamilton,Canada,141.56,85.02,45.93,80.59,65.36,8.05,33.03,55.35,61.06
117,Kanata,Canada,NULL,NULL,24.37,69.44,NULL,6.24,7.0,3.45,45.15
118,Kelowna,Canada,158.66,77.64,46.05,74.93,67.84,6.29,28.93,26.59,59.65
119,London,Canada,132.98,88.61,46.82,70.78,84.52,14.68,43.72,57.91,88.25
120,Maple Ridge,Canada,140.83,85.53,49.3,75.56,73.26,6.42,37.0,41.38,34.74
121,Milton,Canada,NULL,NULL,58.53,90.74,NULL,4.23,30.0,26.01,53.31
122,Mississauga,Canada,165.74,101.51,57.34,69.89,70.08,8.79,38.25,24.2,58.72
123,Montreal,Canada,158.93,93.93,69.64,64.29,68.42,7.68,39.89,33.25,52.37
124,Nelson Bc,Canada,NULL,NULL,66.76,80.56,NULL,6.60,26.67,12.84,71.69
125,North Bay,Canada,NULL,NULL,42.58,68.52,NULL,15.80,13.33,17.67,26.61
126,North Vancouver,Canada,196.13,119.43,79.47,75.23,68.34,8.91,49.62,16.94,91.15
127,Okotoks,Canada,NULL,NULL,83.82,88.89,NULL,NULL,30.0,10.34,NULL
128,Ottawa,Canada,179.45,100.36,73.95,74.56,71.79,5.02,31.15,21.82,44.46
129,Prince Albert,Canada,NULL,NULL,37.35,83.33,NULL,NULL,15.0,33.62,9.08
130,Prince George,Canada,152.36,101.95,34.57,59.72,70.74,2.47,10.0,40.61,36.07
131,Quebec City,Canada,178.92,87.99,84.78,72.76,66.60,4.93,27.53,27.63,47.98
132,Regina,Canada,150.66,104.52,46.59,66.91,68.34,3.96,17.2,39.86,14.28
133,Richmond,Canada,195.31,135.36,54.11,73.86,67.68,4.01,21.96,31.14,81.27
134,Sudbury,Canada,125.29,81.56,40.42,58.33,70.48,6.34,38.12,40.97,26.66
135,Thunder Bay,Canada,135.76,59.60,33.54,64.15,73.72,5.68,17.29,23.39,20.33
136,Toronto,Canada,156.89,101.91,58.86,75.92,72.00,10.52,45.05,37.81,65.35
137,Vancouver,Canada,174.70,92.57,62.78,75.08,73.53,11.64,36.9,25.03,91.15
138,Victoria,Canada,187.35,89.68,63.95,69.88,73.33,7.97,28.47,14.62,92.52
139,Whitehorse,Canada,NULL,NULL,54.97,79.17,NULL,NULL,14.0,12.96,8.79
140,Winnipeg,Canada,147.26,102.23,42.14,68.96,68.85,3.41,31.46,36.73,24.67
141,Woodstock,Canada,NULL,NULL,43.43,66.67,NULL,5.07,8.0,53.45,55.89
142,Yellowknife,Canada,146.33,74.65,47.95,88.74,98.84,4.95,13.4,28.45,-7.50
143,George Town,Cayman Islands,146.34,54.90,67.65,81.54,33.90,8.58,25.0,55.46,58.15
144,Concepcion,Chile,126.96,29.78,50.5,61.38,40.39,16.82,32.67,44.67,96.65
145,La Serena,Chile,NULL,27.80,72.43,61.85,46.96,15.00,39.5,57.47,NULL
146,Puerto Montt,Chile,NULL,NULL,43.98,36.11,NULL,21.25,20.0,68.97,90.28
147,Santiago,Chile,102.05,31.39,42.54,66.23,45.70,18.52,37.18,70.0,90.21
148,Baoji,China,NULL,NULL,88.24,63.89,NULL,NULL,27.0,89.66,NULL
149,Baotou,China,NULL,NULL,97.9,100.0,NULL,11.88,16.11,54.6,NULL
150,Beijing,China,66.59,52.97,66.55,64.4,46.11,50.75,44.61,82.76,57.64
151,Changchun,China,NULL,NULL,73.54,63.89,NULL,8.14,15.0,79.2,23.65
152,Changsha,China,NULL,41.30,79.06,70.37,50.39,13.49,35.0,59.78,NULL
153,Chengdu,China,127.10,54.58,76.8,65.45,43.09,17.94,37.6,72.97,91.18
154,Chongqing,China,115.80,54.97,70.86,53.33,39.26,14.34,52.17,73.7,91.60
155,Dalian,China,133.09,53.41,83.44,76.39,38.46,16.62,30.0,69.48,63.70
156,Fuzhou,China,124.19,42.28,71.42,77.78,41.45,35.05,32.5,49.8,87.28
157,Guizhou,China,NULL,44.15,82.35,80.56,47.66,25.20,50.0,48.85,NULL
158,Hefei,China,152.89,77.83,87.65,80.56,41.53,16.61,15.0,79.21,80.35
159,Jinan,China,105.71,51.59,85.87,52.78,35.70,20.58,50.0,78.04,66.62
160,Nanjing,China,133.73,72.86,87.17,75.35,42.10,23.66,38.0,73.7,80.60
161,Nanning,China,121.01,60.16,77.7,36.11,47.67,19.07,26.5,70.57,83.39
162,Shanghai,China,84.97,54.45,65.43,61.64,53.67,41.56,47.42,77.12,83.64
163,Shenyang,China,105.86,54.89,77.82,77.78,40.98,22.28,20.75,91.78,35.46
164,Shenzhen,China,103.45,68.98,66.97,59.57,51.12,43.79,36.45,62.39,81.80
165,Wuhan,China,112.41,50.06,76.35,71.67,43.59,19.22,37.33,89.43,82.22
166,Xian,China,112.05,54.71,83.15,68.52,38.31,16.12,43.0,93.0,73.90
167,Xiamen,China,98.32,41.10,75.95,74.07,44.05,52.89,60.67,39.5,84.71
168,Zhengzhou,China,102.12,59.15,77.92,77.78,39.45,14.36,65.0,98.35,74.29
169,Barranquilla,Colombia,103.01,28.16,40.36,62.24,28.21,12.25,38.0,55.92,54.07
170,Bogota,Colombia,87.03,26.02,35.1,64.59,27.87,23.40,51.99,70.42,97.12
171,Bucaramanga,Colombia,123.29,30.80,54.86,68.95,23.47,16.51,40.0,56.46,97.37
172,Cali,Colombia,126.27,32.36,31.58,66.81,25.01,13.02,35.88,40.2,93.20
173,Cartagena,Colombia,95.38,29.30,50.68,51.85,29.50,23.81,30.0,58.97,55.95
174,Medellin,Colombia,123.81,34.27,47.97,76.68,28.36,13.34,39.18,63.07,99.76
175,Santa Marta,Colombia,111.35,21.09,55.94,71.3,29.75,22.63,8.0,66.48,61.06
176,Kinshasa,Congo,0.00,14.93,23.14,18.06,109.23,27.09,75.0,115.52,82.84
177,Samara,Costa Rica,102.22,34.83,63.34,45.96,36.44,10.88,41.89,60.1,41.31
178,San Francisco,Costa Rica,156.38,130.21,42.35,65.25,93.55,7.61,51.23,49.24,97.26
179,San Jose,Costa Rica,187.66,156.42,54.42,73.38,74.25,6.37,38.26,45.58,95.53
180,San Juan,Costa Rica,126.38,67.23,30.98,63.45,69.68,5.54,37.46,50.83,71.25
181,Split,Croatia,146.96,38.07,64.6,61.97,53.63,22.02,12.64,35.61,96.26
182,Zagreb,Croatia,159.23,54.36,78.52,64.89,49.90,12.97,31.01,32.49,82.19
183,Havana,Cuba,69.44,1.70,69.79,51.71,57.09,48.82,47.5,57.74,89.86
184,Willemstad,Curacao,103.21,31.00,40.44,50.35,77.16,11.08,17.5,65.07,64.10
185,Ayia Napa,Cyprus,NULL,NULL,39.16,8.33,NULL,8.17,0.0,35.34,94.95
186,Limassol,Cyprus,146.97,54.32,67.37,49.69,64.94,8.12,20.0,53.43,95.74
187,Nicosia,Cyprus,139.14,59.26,68.33,52.17,63.42,6.17,25.74,64.32,86.01
188,Brno,Czech Republic,157.34,64.50,73.7,74.84,46.92,14.71,26.13,43.26,78.17
189,Pardubice,Czech Republic,161.54,60.49,64.96,80.16,44.71,8.92,12.75,49.57,76.82
190,Prague,Czech Republic,161.23,71.02,75.77,74.69,49.42,17.79,32.29,34.42,80.67
191,Aalborg,Denmark,204.40,105.35,75.24,80.87,81.25,6.11,27.11,10.84,81.94
192,Arhus,Denmark,189.91,94.01,78.97,83.8,88.05,6.54,28.88,26.96,81.20
193,Copenhagen,Denmark,184.27,89.77,72.63,77.72,88.24,9.26,28.56,21.89,83.74
194,Esbjerg,Denmark,NULL,NULL,65.25,66.67,NULL,NULL,13.5,5.17,80.25
195,Punta Cana,Dominican Republic,NULL,NULL,55.6,60.19,NULL,8.92,0.0,76.96,72.75
196,Santo Domingo,Dominican Republic,78.89,22.26,31.95,51.42,45.70,14.45,38.0,76.71,67.82
197,Cuenca,Ecuador,144.50,30.43,60.13,82.21,34.28,13.11,35.2,43.91,98.36
198,Guayaquil,Ecuador,96.20,31.12,30.96,52.16,38.90,13.92,34.86,69.14,86.21
199,Loja,Ecuador,NULL,NULL,76.74,81.48,NULL,NULL,20.0,17.24,NULL
200,Quito,Ecuador,108.42,28.85,39.11,67.59,41.12,13.18,42.66,66.1,98.97
201,Santo Domingo,Ecuador,78.89,22.26,31.95,51.42,45.70,14.45,38.0,76.71,67.82
202,Al Jizah,Egypt,NULL,NULL,61.16,34.72,NULL,20.39,60.0,73.28,88.26
203,Aswan,Egypt,NULL,NULL,69.49,38.89,NULL,NULL,9.0,41.38,38.72
204,Cairo,Egypt,81.83,24.41,50.3,44.98,32.18,11.15,50.37,91.51,88.45
205,Dahab,Egypt,NULL,NULL,60.29,91.67,NULL,NULL,10.0,23.56,68.51
206,Hurghada,Egypt,137.63,17.48,66.37,76.85,31.86,9.04,10.0,58.56,68.95
207,Luxor,Egypt,NULL,NULL,56.25,38.89,NULL,13.97,60.0,37.93,47.50
208,Sharm El Sheikh,Egypt,151.21,14.15,70.56,68.89,31.54,11.65,17.0,25.23,68.51
209,San Salvador,El Salvador,73.47,22.95,28.13,51.89,44.30,13.08,44.05,89.8,86.60
210,Tallinn,Estonia,171.98,66.16,77.25,71.72,55.03,9.33,26.74,22.54,64.28
211,Addis Ababa,Ethiopia,69.18,9.82,51.59,52.14,50.45,27.60,55.67,79.79,96.82
212,Bahir Dar,Ethiopia,NULL,NULL,21.32,27.78,NULL,NULL,40.0,58.62,NULL
213,Nadi,Fiji,NULL,NULL,55.88,40.28,NULL,NULL,95.0,53.69,82.11
214,Suva,Fiji,116.53,44.91,46.08,50.38,38.72,12.76,34.82,51.81,71.89
215,Helsinki,Finland,176.32,81.27,74.23,77.2,76.68,13.53,29.65,13.65,62.79
216,Joensuu,Finland,185.13,94.91,74.98,65.05,69.64,4.49,35.0,3.88,45.58
217,Oulu,Finland,184.25,101.03,63.26,74.11,70.06,5.92,18.89,15.81,46.38
218,Rovaniemi,Finland,NULL,NULL,77.39,75.0,NULL,4.18,15.0,6.29,34.01
219,Vaasa,Finland,188.72,90.52,78.5,63.49,70.62,4.94,24.33,10.06,56.23
220,Ajaccio,France,NULL,NULL,79.12,43.06,NULL,8.16,20.0,33.33,94.92
221,Antibes,France,NULL,NULL,80.2,69.44,NULL,8.61,42.0,39.53,94.34
222,Bordeaux,France,163.41,80.41,52.94,83.29,77.57,9.92,31.56,39.27,93.30
223,Brest,France,NULL,NULL,46.1,87.4,NULL,NULL,35.0,28.07,93.14
224,Ivrysurseine,France,NULL,NULL,25.0,72.22,NULL,16.20,32.0,43.1,NULL
225,La Rochelle,France,NULL,NULL,76.41,61.11,NULL,NULL,75.0,10.0,NULL
226,Limoges,France,NULL,NULL,68.68,62.73,NULL,2.29,15.0,1.72,NULL
227,Lyon,France,151.16,83.05,51.2,78.28,77.57,8.78,35.92,50.96,88.51
228,Marseille,France,141.38,91.28,38.45,84.53,74.11,6.05,32.77,73.84,92.70
229,Metz,France,NULL,NULL,52.52,80.56,NULL,6.08,32.5,37.74,83.95
230,Montpellier,France,NULL,NULL,46.91,86.11,NULL,6.17,32.92,42.63,92.22
231,Mulhouse,France,168.47,76.50,43.73,69.44,81.12,4.44,30.0,18.97,85.28
232,Nancy,France,NULL,NULL,70.74,73.61,NULL,6.16,33.33,55.28,84.15
233,Nantes,France,170.68,92.90,41.19,75.86,71.77,8.07,25.93,29.62,91.59
234,Nice,France,141.96,65.79,44.4,87.2,84.11,13.08,40.19,47.32,95.11
235,Paris,France,123.84,78.90,45.17,80.16,83.98,20.08,42.36,63.26,88.39
236,Pau,France,NULL,NULL,62.17,84.72,NULL,4.37,9.0,43.1,NULL
237,Rennes,France,169.90,82.08,47.89,91.11,71.01,8.08,23.25,39.97,90.40
238,Rueilmalmaison,France,NULL,NULL,72.79,83.33,NULL,NULL,42.5,39.08,NULL
239,Strasbourg,France,182.16,93.88,66.67,89.19,75.41,7.54,23.2,38.93,84.71
240,Toulouse,France,168.91,90.40,52.56,84.81,75.76,7.81,30.83,40.91,91.87
241,Versailles,France,211.33,108.38,88.24,88.89,73.99,10.66,19.0,17.24,82.07
242,Papeete,French Polynesia,145.90,36.78,75.37,94.44,94.28,23.26,30.0,36.64,83.50
243,Libreville,Gabon,0.00,18.25,44.63,33.89,61.39,114.39,16.35,80.32,68.21
244,Tbilisi,Georgia,114.99,30.78,75.03,53.34,29.76,12.99,37.57,74.24,84.20
245,Bamberg,Germany,196.68,108.67,73.88,61.11,59.21,6.47,30.75,9.77,78.33
246,Berlin,Germany,169.29,107.97,58.22,69.44,68.55,8.96,33.93,38.68,83.35
247,Cologne,Germany,158.30,87.50,56.44,73.1,68.96,10.19,36.39,40.74,84.85
248,Dessau,Germany,NULL,NULL,51.47,45.83,NULL,2.87,45.0,30.34,NULL
249,Dusseldorf,Germany,180.19,105.12,68.87,73.04,66.88,10.69,30.3,32.66,86.37
250,Frankfurt,Germany,175.16,110.94,56.01,74.85,70.93,11.31,25.01,36.74,84.72
251,Hamburg,Germany,169.94,99.31,56.99,75.18,69.27,11.18,34.69,30.74,82.75
252,Jena,Germany,185.16,94.71,85.03,63.89,68.90,7.66,25.0,30.0,78.77
253,Lbeck,Germany,169.30,82.84,62.66,68.06,67.46,8.32,55.0,11.49,83.53
254,Munich,Germany,180.86,98.96,82.44,77.79,75.65,15.72,32.92,24.96,75.98
255,Passau,Germany,NULL,NULL,71.71,62.5,NULL,7.25,23.0,16.03,NULL
256,Stuttgart,Germany,170.46,108.20,70.96,72.11,67.08,10.01,34.12,45.58,81.07
257,Wolfsburg,Germany,209.13,137.35,70.77,75.0,71.50,4.55,50.0,3.23,82.99
258,Accra,Ghana,22.42,20.03,53.57,61.36,39.99,68.32,49.0,93.65,67.03
259,Kumasi,Ghana,NULL,NULL,62.72,83.33,NULL,NULL,3.0,63.1,74.70
260,Gibraltar,Gibraltar,152.20,88.90,83.62,67.22,67.19,10.56,20.0,70.47,66.59
261,Athens,Greece,117.02,38.85,44.25,56.73,57.46,12.05,38.11,57.33,95.18
262,Chania,Greece,163.37,40.08,80.08,58.33,56.15,9.67,32.43,25.28,96.95
263,Corfu,Greece,155.98,34.83,80.75,42.94,60.69,9.84,20.0,31.66,94.54
264,Crete,Greece,NULL,NULL,81.07,87.78,NULL,NULL,30.0,40.47,96.99
265,Heraklion,Greece,162.21,36.94,75.88,74.18,57.17,13.00,20.0,36.15,97.92
266,Kos,Greece,NULL,NULL,84.09,65.74,NULL,9.46,5.0,9.2,97.18
267,Mytilene,Greece,168.90,39.73,80.88,55.56,58.79,8.28,29.33,18.97,95.44
268,Naousa,Greece,NULL,39.80,74.51,88.89,62.23,33.24,64.0,1.72,NULL
269,Rethymno,Greece,NULL,NULL,80.57,63.47,NULL,14.47,3.0,22.47,97.38
270,Rhodes,Greece,NULL,NULL,74.46,37.04,NULL,13.29,15.6,26.35,96.93
271,Samos,Greece,NULL,NULL,92.65,43.06,NULL,9.23,22.0,10.34,NULL
272,Thessaloniki,Greece,115.45,37.23,46.37,55.79,58.45,11.24,29.19,64.1,88.39
273,Nuuk,Greenland,NULL,NULL,73.86,79.17,NULL,10.78,18.75,59.96,24.01
274,Grenada,Grenada,NULL,NULL,84.95,83.33,NULL,9.79,40.0,35.34,65.33
275,Hagatna,Guam,NULL,NULL,29.51,50.0,NULL,NULL,45.0,23.28,NULL
276,Guatemala City,Guatemala,95.72,25.24,37.26,61.9,44.48,14.26,48.19,72.38,99.89
277,Saint Peter Port,Guernsey,173.77,62.09,73.74,56.94,87.90,10.07,10.0,27.59,94.61
278,St Peter Port,Guernsey,185.91,53.70,86.58,52.78,124.53,9.19,20.0,0.0,94.99
279,Georgetown,Guyana,45.96,18.10,29.24,35.71,48.14,36.75,52.0,66.84,65.81
280,La Paz,Honduras,77.11,37.06,46.18,45.83,37.54,9.83,59.2,81.66,55.46
281,Tegucigalpa,Honduras,95.19,31.13,26.05,45.85,39.85,9.69,22.43,84.92,98.65
282,Hong Kong,Hong Kong,99.02,66.94,78.01,66.26,80.16,46.69,42.56,67.74,83.64
283,Budapest,Hungary,125.17,52.76,64.59,51.24,43.83,14.73,39.0,54.37,78.41
284,Vac,Hungary,NULL,NULL,78.92,50.0,NULL,10.91,13.5,5.17,77.43
285,Rd,Hungary,147.58,61.03,70.1,44.44,39.25,8.97,22.5,47.13,77.71
286,Akureyri,Iceland,184.08,103.79,77.69,65.74,84.59,4.42,18.0,30.23,58.34
287,Reykjavik,Iceland,181.32,73.80,78.01,66.89,96.62,7.24,19.96,15.01,68.81
