id,name,country,quality_of_life_index,purchasing_power_index,safety_index,health_care_index,cost_of_living_index,property_price_to_income_ratio,traffic_commute_time_index,pollution_index,climate_index
592,Panama City,Panama,108.20,32.58,52.25,59.63,54.71,11.68,34.61,64.47,67.84
593,Santiago,Panama,102.05,31.39,42.54,66.23,45.70,18.52,37.18,70.0,90.21
594,Port Moresby,Papua New Guinea,0.00,7.32,17.87,24.13,79.68,260.00,31.5,76.16,71.75
595,Asuncion,Paraguay,104.67,27.53,50.58,64.28,30.89,14.89,47.57,69.49,92.24
596,San Antonio,Paraguay,183.60,139.98,51.17,71.63,62.07,1.95,30.29,45.28,80.58
597,Arequipa,Peru,91.67,29.80,53.98,50.0,30.14,17.79,33.0,86.85,83.90
598,Cusco,Peru,102.52,26.61,56.87,36.11,33.27,40.68,25.0,32.76,82.03
599,Lima,Peru,81.40,31.72,29.6,58.4,32.98,16.96,50.04,85.11,97.69
600,Piura,Peru,NULL,32.72,55.88,5.56,23.60,22.62,50.0,89.66,NULL
601,Trujillo,Peru,NULL,NULL,39.5,41.67,NULL,9.95,22.0,60.06,98.23
602,Bacolod,Philippines,NULL,NULL,49.72,78.19,NULL,20.00,32.0,74.59,NULL
603,Cagayan De Oro City,Philippines,88.95,23.90,53.06,62.96,36.90,32.97,17.5,80.95,81.15
604,Cebu,Philippines,67.12,17.44,48.15,62.16,39.93,30.81,35.82,84.33,60.40
605,Davao,Philippines,102.29,20.13,72.21,72.21,39.39,33.50,27.61,58.55,58.57
606,Dumaguete,Philippines,NULL,NULL,65.03,70.45,NULL,19.67,18.71,78.98,62.09
607,Iloilo,Philippines,NULL,25.42,58.06,59.43,33.70,11.35,41.67,71.82,NULL
608,Laoag City,Philippines,NULL,NULL,60.88,100.0,NULL,NULL,0.0,15.52,68.70
609,Manila,Philippines,45.28,22.13,35.65,63.26,41.33,35.89,54.37,89.86,61.23
610,Naga,Philippines,NULL,NULL,67.99,75.0,NULL,NULL,0.0,36.61,60.40
611,San Juan,Philippines,126.38,67.23,30.98,63.45,69.68,5.54,37.46,50.83,71.25
612,Tacloban,Philippines,NULL,NULL,60.54,72.22,NULL,NULL,10.0,46.55,57.75
613,Gdansk,Poland,117.19,42.88,66.59,49.93,47.92,18.35,31.55,59.23,75.51
614,Katowice,Poland,109.49,50.94,56.03,41.22,39.53,12.90,31.04,70.77,72.49
615,Krakow Cracow,Poland,112.06,49.53,67.57,52.22,44.05,17.06,32.09,74.29,73.86
616,Lodz,Poland,109.40,42.72,56.06,51.29,38.16,15.72,35.13,67.19,77.02
617,Poznan,Poland,116.53,44.54,67.21,51.58,41.32,16.80,33.27,65.64,77.41
618,Warsaw,Poland,118.67,44.24,71.44,56.91,54.13,18.09,35.37,61.78,74.61
619,Wroclaw,Poland,118.19,48.63,66.79,52.62,41.41,16.29,33.99,66.61,78.39
620,Albufeira,Portugal,NULL,NULL,65.7,45.56,NULL,13.34,10.0,45.75,98.00
621,Faro,Portugal,159.91,46.26,72.27,53.11,51.81,9.85,28.0,29.45,98.08
622,Funchal,Portugal,176.71,47.40,84.61,50.42,48.94,9.50,19.0,20.97,99.45
623,Lagos,Portugal,49.49,8.23,34.23,46.04,37.04,12.81,66.78,89.52,60.75
624,Lisbon,Portugal,150.37,45.37,71.24,72.38,51.69,18.34,35.93,35.63,98.59
625,Ponta Delgada,Portugal,182.27,39.01,78.49,69.91,49.24,14.88,17.33,7.93,99.65
